"AGUA DULCE ISD","AGUA DULCE ELEMENTARY SCHOOL","178901101","178901","178","02","NUECES","E","PK - 06","N"
"AGUA DULCE ISD","AGUA DULCE H S","178901001","178901","178","02","NUECES","S","07 - 12","N"
"ALAMO HEIGHTS ISD","ALAMO HEIGHTS H S","015901001","015901","015","20","BEXAR","S","09 - 12","N"
"ALAMO HEIGHTS ISD","ALAMO HEIGHTS J H","015901041","015901","015","20","BEXAR","M","06 - 08","N"
"ALAMO HEIGHTS ISD","BEXAR CO J J A E P","015901002","015901","015","20","BEXAR","S","11 - 11","N"
"ALAMO HEIGHTS ISD","CAMBRIDGE EL","015901101","015901","015","20","BEXAR","E","01 - 05","N"
"ALAMO HEIGHTS ISD","HOWARD EL","015901102","015901","015","20","BEXAR","E","EE - KG","N"
"ALAMO HEIGHTS ISD","WOODRIDGE EL","015901104","015901","015","20","BEXAR","E","01 - 05","N"
"ALBA-GOLDEN ISD","ALBA-GOLDEN EL","250906101","250906","250","07","WOOD","E","PK - 06","N"
"ALBA-GOLDEN ISD","ALBA-GOLDEN H S","250906001","250906","250","07","WOOD","S","07 - 12","N"
"ALBA-GOLDEN ISD","ALTER SCHOOL","250906002","250906","250","07","WOOD","S","11 - 12","N"
"ALBANY ISD","ALBANY JR-SR H S","209901001","209901","209","14","SHACKELFORD","S","07 - 12","N"
"ALBANY ISD","NANCY SMITH EL","209901101","209901","209","14","SHACKELFORD","E","EE - 06","N"
"ALDINE ISD","ALDINE H S","101902001","101902","101","04","HARRIS","S","09 - 12","N"
"ALDINE ISD","ALDINE J J A E P","101902099","101902","101","04","HARRIS","B","05 - 11","N"
"ALDINE ISD","ALDINE MIDDLE","101902041","101902","101","04","HARRIS","M","07 - 08","N"
"ALDINE ISD","ALDINE NINTH GRADE SCHOOL","101902081","101902","101","04","HARRIS","S","09 - 09","N"
"ALDINE ISD","ANDERSON ACAD","101902101","101902","101","04","HARRIS","E","01 - 03","N"
"ALDINE ISD","BETHUNE ACAD","101902102","101902","101","04","HARRIS","E","04 - 05","N"
"ALDINE ISD","BLACK EL","101902126","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","CALVERT EL","101902128","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","CARAWAY INT","101902066","101902","101","04","HARRIS","M","05 - 06","N"
"ALDINE ISD","CARMICHAEL EL","101902122","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","CARROLL ACADEMY","101902103","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","CARTER ELEMENTARY","101902107","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","CARVER H S  FOR APPLIED TECH ENGI","101902002","101902","101","04","HARRIS","S","09 - 12","N"
"ALDINE ISD","CHESTER W NIMITZ H S","101902005","101902","101","04","HARRIS","S","09 - 12","N"
"ALDINE ISD","CONLEY EL","101902123","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","DE SANTIAGO EC/PRE-K CENTER","101902155","101902","101","04","HARRIS","E","EE - PK","N"
"ALDINE ISD","DREW ACAD","101902042","101902","101","04","HARRIS","M","06 - 08","N"
"ALDINE ISD","DUNN EL","101902124","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","ECKERT INT","101902061","101902","101","04","HARRIS","M","05 - 06","N"
"ALDINE ISD","EISENHOWER H S","101902004","101902","101","04","HARRIS","S","09 - 12","N"
"ALDINE ISD","EISENHOWER NINTH GRADE SCHOOL","101902084","101902","101","04","HARRIS","S","09 - 09","N"
"ALDINE ISD","ERMEL EL","101902121","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","ESCAMILLA INT","101902063","101902","101","04","HARRIS","M","05 - 06","N"
"ALDINE ISD","EVELYN S THOMPSON EL","101902117","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","FRANCIS EL","101902105","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","GRAY EL","101902125","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","HAMBRICK MIDDLE","101902043","101902","101","04","HARRIS","M","07 - 08","N"
"ALDINE ISD","HARRIS ACADEMY","101902129","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","HINOJOSA EC/PRE-K CENTER","101902153","101902","101","04","HARRIS","E","EE - PK","N"
"ALDINE ISD","HOFFMAN MIDDLE","101902046","101902","101","04","HARRIS","M","07 - 08","N"
"ALDINE ISD","J RUTH SMITH ACADEMY","101902114","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","JOHNSON EL","101902116","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","KEEBLE EC/PRE-K CENTER","101902151","101902","101","04","HARRIS","E","EE - PK","N"
"ALDINE ISD","LANE SCH","101902108","101902","101","04","HARRIS","B","EE - 12","N"
"ALDINE ISD","LAUDER RD HEAD START","101902303","101902","101","04","HARRIS","E","PK - PK","N"
"ALDINE ISD","MACARTHUR H S","101902003","101902","101","04","HARRIS","S","09 - 12","N"
"ALDINE ISD","MACARTHUR NINTH GRADE SCHOOL","101902083","101902","101","04","HARRIS","S","09 - 09","N"
"ALDINE ISD","MAGRILL EL","101902120","101902","101","04","HARRIS","E","EE - 04","N"
"ALDINE ISD","MENDEL EL","101902109","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","NIMITZ NINTH GRADE SCHOOL","101902085","101902","101","04","HARRIS","S","09 - 09","N"
"ALDINE ISD","NORTHWEST INTERMEDIATE","101902069","101902","101","04","HARRIS","M","05 - 06","N"
"ALDINE ISD","OLESON EL","101902111","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","ORANGE GROVE EL","101902112","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","PARKER INT","101902065","101902","101","04","HARRIS","M","05 - 06","N"
"ALDINE ISD","RALPH  G GOODMAN","101902106","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","RAYMOND ACADEMY","101902113","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","REECE ACADEMY","101902104","101902","101","04","HARRIS","E","PK - KG","N"
"ALDINE ISD","RUBY REED ACADEMY","101902068","101902","101","04","HARRIS","M","05 - 06","N"
"ALDINE ISD","SAMMONS EL","101902118","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","SHOTWELL MIDDLE","101902047","101902","101","04","HARRIS","M","07 - 08","N"
"ALDINE ISD","STEHLIK INT","101902064","101902","101","04","HARRIS","M","05 - 06","N"
"ALDINE ISD","STEPHENS EL","101902119","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","STOVALL ACADEMY","101902127","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","STOVALL MIDDLE","101902044","101902","101","04","HARRIS","M","07 - 08","N"
"ALDINE ISD","T S GRANTHAM MIDDLE","101902048","101902","101","04","HARRIS","M","07 - 08","N"
"ALDINE ISD","TEAGUE MIDDLE","101902045","101902","101","04","HARRIS","M","07 - 08","N"
"ALDINE ISD","VINES EC/PRE-K CENTER","101902154","101902","101","04","HARRIS","E","EE - PK","N"
"ALDINE ISD","W T HALL SCHOOL","101902006","101902","101","04","HARRIS","S","09 - 12","N"
"ALDINE ISD","WEAVER A ODOM ELEMENTARY","101902115","101902","101","04","HARRIS","E","KG - 04","N"
"ALDINE ISD","WILSON INT","101902067","101902","101","04","HARRIS","M","05 - 06","N"
"ALDINE ISD","WORSHAM EL","101902110","101902","101","04","HARRIS","E","KG - 04","N"
"ALEDO ISD","ALEDO HIGH SCHOOL","184907001","184907","184","11","PARKER","S","09 - 12","N"
"ALEDO ISD","ALEDO LEARNING CENTER","184907002","184907","184","11","PARKER","S","09 - 12","N"
"ALEDO ISD","ALEDO MIDDLE SCHOOL","184907041","184907","184","11","PARKER","M","06 - 08","N"
"ALEDO ISD","CODER ELEMENTARY","184907102","184907","184","11","PARKER","E","EE - 04","N"
"ALEDO ISD","STUARD ELEMENTARY","184907103","184907","184","11","PARKER","E","KG - 04","N"
"ALEDO ISD","VANDAGRIFF ELEMENTARY","184907101","184907","184","11","PARKER","E","KG - 05","N"
"ALICE ISD","ADAMS MIDDLE","125901043","125901","125","02","JIM WELLS","M","07 - 08","N"
"ALICE ISD","ALICE H S","125901001","125901","125","02","JIM WELLS","S","09 - 12","N"
"ALICE ISD","DUBOSE INTERMEDIATE","125901041","125901","125","02","JIM WELLS","M","05 - 06","N"
"ALICE ISD","GARCIA EL","125901102","125901","125","02","JIM WELLS","E","KG - 04","N"
"ALICE ISD","HILLCREST EL","125901101","125901","125","02","JIM WELLS","E","KG - 04","N"
"ALICE ISD","MEMORIAL INTERMEDIATE","125901042","125901","125","02","JIM WELLS","M","05 - 06","N"
"ALICE ISD","NAYER EL","125901103","125901","125","02","JIM WELLS","E","EE - 04","N"
"ALICE ISD","NOONAN EL","125901104","125901","125","02","JIM WELLS","E","KG - 04","N"
"ALICE ISD","SAENZ EL","125901105","125901","125","02","JIM WELLS","E","KG - 04","N"
"ALICE ISD","SALAZAR EL","125901106","125901","125","02","JIM WELLS","E","KG - 04","N"
"ALICE ISD","SCHALLERT EL","125901107","125901","125","02","JIM WELLS","E","KG - 04","N"
"ALIEF ISD","ADMIN SERVICES","101903199","101903","101","04","HARRIS","B","EE - 11","N"
"ALIEF ISD","ALBRIGHT MIDDLE","101903045","101903","101","04","HARRIS","M","07 - 08","N"
"ALIEF ISD","ALEXANDER EL","101903114","101903","101","04","HARRIS","E","EE - 04","N"
"ALIEF ISD","ALIEF ISD J J A E P","101903047","101903","101","04","HARRIS","S","07 - 12","N"
"ALIEF ISD","ALIEF MIDDLE","101903041","101903","101","04","HARRIS","M","06 - 09","N"
"ALIEF ISD","BEST EL","101903118","101903","101","04","HARRIS","E","EE - 04","N"
"ALIEF ISD","BOONE EL","101903102","101903","101","04","HARRIS","E","PK - 04","N"
"ALIEF ISD","BUSH EL","101903121","101903","101","04","HARRIS","E","PK - 05","N"
"ALIEF ISD","CHAMBERS EL","101903104","101903","101","04","HARRIS","E","PK - 04","N"
"ALIEF ISD","CHANCELLOR EL","101903108","101903","101","04","HARRIS","E","EE - 05","N"
"ALIEF ISD","COLLINS ELEMENTARY","101903122","101903","101","04","HARRIS","E","PK - 05","N"
"ALIEF ISD","CUMMINGS EL","101903112","101903","101","04","HARRIS","E","EE - 04","N"
"ALIEF ISD","ELSIK H S","101903002","101903","101","04","HARRIS","S","09 - 12","N"
"ALIEF ISD","HASTINGS H S","101903001","101903","101","04","HARRIS","S","09 - 12","N"
