"ACADEMY ISD","ACADEMY H S","014901001","014901","09 - 12","S","014","12","BELL","R","NQ","R","","","N","N"
"ACADEMY ISD","ACADEMY J H","014901041","014901","05 - 08","M","014","12","BELL","R","NA","M","","","N","N"
"ACADEMY OF ACCELERATED LEARNING I","ACADEMY OF ACCELERATED LEARNING HI","101810001","101810","09 - 11","S","101","04","HARRIS","H","NH","","","","N","Y"
"ACADEMY OF HOUSTON","ACADEMY OF HOUSTON","101808101","101808","KG - 06","E","101","04","HARRIS","H","NH","","","","N","Y"
"ACADEMY OF SKILLS & KNOWLEDGE","ACADEMY OF SKILLS & KNOWLEDGE","212801101","212801","03 - 08","E","212","07","SMITH","H","NH","","","","N","Y"
"ACADEMY OF TRANSITIONAL STUDIES","ACADEMY OF TRANSITIONAL STUDIES","178801001","178801","06 - 12","B","178","02","NUECES","L","NA","NE","","","N","Y"
"ADRIAN ISD","ADRIAN SCHOOL","180903001","180903","KG - 12","B","180","16","OLDHAM","E","NQ","R","","","N","N"
"AGUA DULCE ISD","AGUA DULCE EL","178901101","178901","EE - 05","E","178","02","NUECES","A","NA","NQ","","","N","N"
"AGUA DULCE ISD","AGUA DULCE H S","178901001","178901","09 - 12","S","178","02","NUECES","A","NQ","NQ","","","N","N"
"AGUA DULCE ISD","AGUA DULCE J H","178901041","178901","06 - 08","M","178","02","NUECES","R","NA","NQ","","","N","N"
"ALAMO HEIGHTS ISD","ALAMO HEIGHTS H S","015901001","015901","09 - 12","S","015","20","BEXAR","A","NQ","NQ","","","N","N"
"ALAMO HEIGHTS ISD","ALAMO HEIGHTS J H","015901041","015901","06 - 08","M","015","20","BEXAR","A","NA","R","","","N","N"
"ALAMO HEIGHTS ISD","BEXAR CO J J A E P","015901002","015901","07 - 12","S","015","20","BEXAR","N","NR","","","","N","N"
"ALAMO HEIGHTS ISD","CAMBRIDGE EL","015901101","015901","01 - 05","E","015","20","BEXAR","R","NA","RM","","","N","N"
"ALAMO HEIGHTS ISD","HOWARD EL","015901102","015901","EE - KG","E","015","20","BEXAR","N","NR","","","","N","N"
"ALAMO HEIGHTS ISD","WOODRIDGE EL","015901104","015901","01 - 05","E","015","20","BEXAR","R","NA","R","","","N","N"
"ALBA-GOLDEN ISD","ALBA-GOLDEN EL","250906101","250906","PK - 06","E","250","07","WOOD","R","NA","R","","","N","N"
"ALBA-GOLDEN ISD","ALBA-GOLDEN H S","250906001","250906","07 - 12","S","250","07","WOOD","R","NQ","NQ","","","N","N"
"ALBA-GOLDEN ISD","ALTER SCHOOL","250906002","250906","09 - 12","S","250","07","WOOD","1","PE","","","","N","N"
"ALBANY ISD","ALBANY JR-SR H S","209901001","209901","07 - 12","S","209","14","SHACKELFORD","R","NQ","NQ","","","N","N"
"ALBANY ISD","NANCY SMITH EL","209901101","209901","EE - 06","E","209","14","SHACKELFORD","E","NA","NQ","","","N","N"
"ALDINE ISD","ALDINE H S","101902001","101902","09 - 12","S","101","04","HARRIS","R","NQ","NQ","","","N","N"
"ALDINE ISD","ALDINE J J A E P","101902099","101902","05 - 10","B","101","04","HARRIS","N","NR","","","","N","N"
"ALDINE ISD","ALDINE MIDDLE","101902041","101902","07 - 08","M","101","04","HARRIS","A","NA","NQ","","","N","N"
"ALDINE ISD","ALDINE NINTH GRADE CENTER","101902081","101902","09 - 09","S","101","04","HARRIS","A","NA","NQ","101902001","ALDINE H S","N","N"
"ALDINE ISD","ANDERSON ACAD","101902101","101902","01 - 03","E","101","04","HARRIS","E","NA","NQ","","BETHUNE ACAD","N","N"
"ALDINE ISD","BETHUNE ACAD","101902102","101902","04 - 05","E","101","04","HARRIS","A","NA","NQ","","","N","N"
"ALDINE ISD","BLACK EL","101902126","101902","EE - 04","E","101","04","HARRIS","R","NA","NQ","","","N","N"
"ALDINE ISD","CALVERT EL","101902128","101902","KG - 04","E","101","04","HARRIS","R","NA","R","","","N","N"
"ALDINE ISD","CARAWAY INT","101902066","101902","05 - 06","M","101","04","HARRIS","A","NA","NQ","","","N","N"
"ALDINE ISD","CARMICHAEL EL","101902122","101902","EE - 04","E","101","04","HARRIS","R","NA","NQ","","","N","N"
"ALDINE ISD","CARROLL ACADEMY","101902103","101902","EE - 04","E","101","04","HARRIS","A","NA","NQ","","","N","N"
"ALDINE ISD","CARTER ELEMENTARY","101902107","101902","EE - 04","E","101","04","HARRIS","A","NA","R","","","N","N"
"ALDINE ISD","CARVER H S  FOR APPLIED TECH ENGI","101902002","101902","09 - 12","S","101","04","HARRIS","A","NQ","NQ","","","N","N"
"ALDINE ISD","CHESTER W NIMITZ H S","101902005","101902","09 - 12","S","101","04","HARRIS","A","NQ","NQ","","","N","N"
"ALDINE ISD","CONLEY EL","101902123","101902","EE - 04","E","101","04","HARRIS","R","NA","NQ","","","N","N"
"ALDINE ISD","DE SANTIAGO EC/PRE-K CENTER","101902155","101902","EE - PK","E","101","04","HARRIS","N","NR","","","","N","N"
"ALDINE ISD","DREW ACAD","101902042","101902","06 - 08","M","101","04","HARRIS","A","NA","NQ","","","N","N"
"ALDINE ISD","DUNN EL","101902124","101902","EE - 04","E","101","04","HARRIS","R","NA","R","","","N","N"
"ALDINE ISD","ECKERT INT","101902061","101902","05 - 06","M","101","04","HARRIS","A","NA","R","","","N","N"
"ALDINE ISD","EISENHOWER H S","101902004","101902","09 - 12","S","101","04","HARRIS","A","NQ","NQ","","","N","N"
"ALDINE ISD","EISENHOWER NINTH GRADE CENTER","101902084","101902","09 - 09","S","101","04","HARRIS","A","NA","NQ","101902004","EISENHOWER H S","N","N"
"ALDINE ISD","ERMEL EL","101902121","101902","EE - 04","E","101","04","HARRIS","A","NA","NQ","","","N","N"
"ALDINE ISD","ESCAMILLA INT","101902063","101902","05 - 06","M","101","04","HARRIS","R","NA","NQ","","","N","N"
"ALDINE ISD","EVELYN S THOMPSON EL","101902117","101902","EE - 04","E","101","04","HARRIS","A","NA","NQ","","","N","N"
"ALDINE ISD","FRANCIS EL","101902105","101902","EE - 04","E","101","04","HARRIS","R","NA","NQ","","","N","N"
"ALDINE ISD","GRAY EL","101902125","101902","KG - 04","E","101","04","HARRIS","R","NA","R","","","N","N"
"ALDINE ISD","HAMBRICK MIDDLE","101902043","101902","07 - 08","M","101","04","HARRIS","E","NA","M","","","N","N"
"ALDINE ISD","HIDDEN VALLEY EL","101902106","101902","EE - 04","E","101","04","HARRIS","A","NA","NQ","","","N","N"
"ALDINE ISD","HINOJOSA EC/PRE-K CENTER","101902153","101902","EE - PK","E","101","04","HARRIS","N","NR","","","","N","N"
"ALDINE ISD","HOFFMAN MIDDLE","101902046","101902","07 - 08","M","101","04","HARRIS","A","NA","NQ","","","N","N"
"ALDINE ISD","J RUTH SMITH ACADEMY","101902114","101902","EE - 04","E","101","04","HARRIS","A","NA","NQ","","","N","N"
"ALDINE ISD","JOHNSON EL","101902116","101902","KG - 04","E","101","04","HARRIS","A","NA","NQ","","","N","N"
"ALDINE ISD","KEEBLE EC/PRE-K CENTER","101902151","101902","EE - PK","E","101","04","HARRIS","N","NR","","","","N","N"
"ALDINE ISD","LANE SCH","101902108","101902","EE - 12","B","101","04","HARRIS","N","NR","","","","N","N"
"ALDINE ISD","MACARTHUR H S","101902003","101902","09 - 12","S","101","04","HARRIS","A","NQ","NQ","","","N","N"
"ALDINE ISD","MAGRILL EL","101902120","101902","EE - 04","E","101","04","HARRIS","E","NA","NQ","","","N","N"
"ALDINE ISD","MENDEL EL","101902109","101902","EE - 04","E","101","04","HARRIS","R","NA","NQ","","","N","N"
"ALDINE ISD","OLESON EL","101902111","101902","KG - 04","E","101","04","HARRIS","R","NA","NQ","","","N","N"
"ALDINE ISD","ORANGE GROVE EL","101902112","101902","EE - 04","E","101","04","HARRIS","A","NA","NQ","","","N","N"
