DISTNAME,CAMPNAME,CACKDTL,CAMPUS,DISTRICT,COUNTY,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING
A W BROWN-FELLOWSHIP LEADERSHIP AC,A W BROWN - FELLOWSHIP NORTH CAMPU,,057816102,057816,057,10,DALLAS,E,EE - PK,Y,,,X
A W BROWN-FELLOWSHIP LEADERSHIP AC,AW BROWN-FELLOWSHIP CHARTER SCHOOL,AEMN,057816101,057816,057,10,DALLAS,E,KG - 06,Y,,,R
A+ ACADEMY,A+ ACADEMY,RV,057829001,057829,057,10,DALLAS,B,PK - 12,Y,,,A
ABBOTT ISD,ABBOTT SCHOOL,AUVJEWNSX,109901001,109901,109,12,HILL,B,PK - 12,N,,,R
ABERNATHY ISD,ABERNATHY DAEP,,095901003,095901,095,17,HALE,S,09 - 11,N,,,X
ABERNATHY ISD,ABERNATHY EL,NY,095901101,095901,095,17,HALE,E,EE - 05,N,,,R
ABERNATHY ISD,ABERNATHY H S,ARVJS,095901001,095901,095,17,HALE,S,09 - 12,N,,,A
ABERNATHY ISD,ABERNATHY J H,AWNS,095901041,095901,095,17,HALE,M,06 - 08,N,,,A
ABILENE ISD,ABILENE H S,JS,221901001,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,ACADEMY FOR TECHNOLOGY ENGINEERING,AS,221901010,221901,221,14,TAYLOR,S,09 - 10,N,,,A
ABILENE ISD,ACADIA ABILENE BEHAVIORAL HEALTH,,221901142,221901,221,14,TAYLOR,B,01 - 11,N,,,X
ABILENE ISD,AUSTIN EL,EWMNX,221901102,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BASSETTI EL,EMN,221901153,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BONHAM EL,,221901103,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,BOWIE EL,N,221901104,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,CLACK MIDDLE,,221901047,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,COLLEGE HEIGHTS EL,,221901106,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,COOPER H S,,221901002,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,CRAIG MIDDLE,,221901048,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,DAY NURSERY OF ABILENE,,221901208,221901,221,14,TAYLOR,E,PK - PK,N,221901000,ABILENE ISD,X
ABILENE ISD,DYESS EL,EWMNY,221901108,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,FANNIN EL,N,221901110,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,JACKSON EL,EWN,221901112,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,JOHNSTON EL,Y,221901113,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,JUVENILE DETENTION CENTER,,221901008,221901,221,14,TAYLOR,S,07 - 11,N,,,X
ABILENE ISD,LEE EL,MNY,221901116,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,LOCUST ECC,,221901117,221901,221,14,TAYLOR,E,EE - PK,N,221901000,ABILENE ISD,X
ABILENE ISD,LONG EL,NZ,221901118,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,MADISON MIDDLE,WY,221901044,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,MANN MIDDLE,,221901045,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,ORTIZ EL,,221901152,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,REAGAN EL,EZ,221901120,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,SAM HOUSTON,,221901124,221901,221,14,TAYLOR,B,KG - 12,N,,,X
ABILENE ISD,SP ED O J T,,221901128,221901,221,14,TAYLOR,E,EE - EE,N,,,X
ABILENE ISD,TAYLOR COUNTY LEARNING CENTER,,221901007,221901,221,14,TAYLOR,S,07 - 12,N,,,X
ABILENE ISD,TAYLOR EL,NY,221901121,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,THOMAS EL,MN,221901151,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,TRAVIS OPPORTUNITY CTR,,221901006,221901,221,14,TAYLOR,B,06 - 12,N,,,X
ABILENE ISD,WARD EL,EW,221901150,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,WOODSON CENTER FOR EXCELLENCE,,221901003,221901,221,14,TAYLOR,S,09 - 12,N,,,1
ABILENE ISD,WOODSON ECC,,221901125,221901,221,14,TAYLOR,E,EE - PK,N,221901000,ABILENE ISD,X
ACADEMY ISD,ACADEMY EL,Y,014901101,014901,014,12,BELL,E,EE - 04,N,,,A
ACADEMY ISD,ACADEMY H S,UVJS,014901001,014901,014,12,BELL,S,09 - 12,N,,,R
ACADEMY ISD,ACADEMY J H,EWNSY,014901041,014901,014,12,BELL,M,05 - 08,N,,,R
ACADEMY OF ACCELERATED LEARNING IN,ACADEMY OF ACCELERATED LEARNING,Z,101810002,101810,101,04,HARRIS,E,PK - 05,Y,,,R
ACADEMY OF CAREERS AND TECHNOLOGIE,ACADEMY OF CAREERS AND TECHNOLOGIE,A,015816001,015816,015,20,BEXAR,S,09 - 12,Y,,,1
ACADEMY OF DALLAS,ACADEMY OF DALLAS,,057810101,057810,057,10,DALLAS,E,PK - 08,Y,,,A
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACAD,EMNX,101849101,101849,101,04,HARRIS,E,PK - 06,Y,,,R
ADRIAN ISD,ADRIAN SCHOOL,RUVES,180903001,180903,180,16,OLDHAM,B,PK - 12,N,,,R
ADVANTAGE ACADEMY,ADVANTAGE ACADEMY,ARJX,057806101,057806,057,10,DALLAS,B,PK - 12,Y,,,A
AGUA DULCE ISD,AGUA DULCE ELEMENTARY SCHOOL,X,178901101,178901,178,02,NUECES,E,PK - 05,N,,,A
AGUA DULCE ISD,AGUA DULCE H S,RVJX,178901001,178901,178,02,NUECES,B,06 - 12,N,,,A
ALAMO HEIGHTS ISD,ALAMO HEIGHTS H S,PVJS,015901001,015901,015,20,BEXAR,S,09 - 12,N,,,A
ALAMO HEIGHTS ISD,ALAMO HEIGHTS J H,WS,015901041,015901,015,20,BEXAR,M,06 - 08,N,,,A
ALAMO HEIGHTS ISD,BEXAR CO J J A E P,,015901002,015901,015,20,BEXAR,M,08 - 08,N,,,X
ALAMO HEIGHTS ISD,CAMBRIDGE EL,,015901101,015901,015,20,BEXAR,E,01 - 05,N,,,A
ALAMO HEIGHTS ISD,HOWARD EL,,015901102,015901,015,20,BEXAR,E,EE - KG,N,015901000,ALAMO HEIGHTS ISD,X
ALAMO HEIGHTS ISD,WOODRIDGE EL,EWMNZ,015901104,015901,015,20,BEXAR,E,01 - 05,N,,,R
ALBA-GOLDEN ISD,ALBA-GOLDEN EL,ENZ,250906101,250906,250,07,WOOD,E,PK - 05,N,,,R
ALBA-GOLDEN ISD,ALBA-GOLDEN H S,UVW,250906001,250906,250,07,WOOD,B,06 - 12,N,,,A
ALBA-GOLDEN ISD,ALTER SCHOOL,,250906002,250906,250,07,WOOD,M,08 - 08,N,,,1
ALBANY ISD,ALBANY JR-SR H S,ARJWS,209901001,209901,209,14,SHACKELFORD,S,07 - 12,N,,,A
ALBANY ISD,NANCY SMITH EL,EWMN,209901101,209901,209,14,SHACKELFORD,E,EE - 06,N,,,R
ALDINE ISD,ALDINE H S,VS,101902001,101902,101,04,HARRIS,S,09 - 12,N,,,A
ALDINE ISD,ALDINE J J A E P,,101902099,101902,101,04,HARRIS,M,06 - 09,N,,,X
ALDINE ISD,ALDINE MIDDLE,S,101902041,101902,101,04,HARRIS,M,07 - 08,N,,,A
ALDINE ISD,ALDINE NINTH GRADE SCHOOL,,101902081,101902,101,04,HARRIS,S,09 - 09,N,,,R
ALDINE ISD,ANDERSON ACADEMY,E,101902101,101902,101,04,HARRIS,E,01 - 03,N,,,R
ALDINE ISD,BETHUNE ACADEMY,AEX,101902102,101902,101,04,HARRIS,E,03 - 04,N,,,A
ALDINE ISD,BLACK EL,AX,101902126,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,BUSSEY EL,A,101902131,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,CALVERT EL,,101902128,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,CARAWAY INT,Y,101902066,101902,101,04,HARRIS,M,05 - 06,N,,,A
ALDINE ISD,CARMICHAEL EL,X,101902122,101902,101,04,HARRIS,E,KG - 04,N,,,A
ALDINE ISD,CARROLL ACADEMY,A,101902103,101902,101,04,HARRIS,E,KG - 04,N,,,E
ALDINE ISD,CARTER ACADEMY,AX,101902107,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,CARVER H S FOR APPLIED TECH/ENGINE,ARUVJS,101902002,101902,101,04,HARRIS,S,09 - 12,N,,,R
ALDINE ISD,CONLEY ELEMENTARY,X,101902123,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,DE SANTIAGO EC/PRE-K CENTER,,101902155,101902,101,04,HARRIS,E,EE - PK,N,101902128,CALVERT EL,X
ALDINE ISD,DREW ACADEMY,AES,101902042,101902,101,04,HARRIS,M,07 - 08,N,,,R
ALDINE ISD,DUNN EL,,101902124,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,ECKERT INT,Z,101902061,101902,101,04,HARRIS,M,05 - 06,N,,,A
ALDINE ISD,EISENHOWER H S,S,101902004,101902,101,04,HARRIS,S,09 - 12,N,,,A
ALDINE ISD,EISENHOWER NINTH GRADE SCHOOL,,101902084,101902,101,04,HARRIS,S,09 - 09,N,,,A
ALDINE ISD,ERMEL EL,X,101902121,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,ESCAMILLA INT,AENZ,101902063,101902,101,04,HARRIS,M,05 - 06,N,,,R
ALDINE ISD,FRANCIS EL,,101902105,101902,101,04,HARRIS,E,KG - 04,N,,,A
ALDINE ISD,GARCIA-LEZA EC/PRE-K CENTER,,101902163,101902,101,04,HARRIS,E,EE - PK,N,101902111,OLESON EL,X
ALDINE ISD,GOODMAN EL,X,101902106,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,GRANTHAM ACADEMY,AS,101902048,101902,101,04,HARRIS,M,07 - 08,N,,,R
ALDINE ISD,GRAY EL,,101902125,101902,101,04,HARRIS,E,KG - 04,N,,,A
ALDINE ISD,HALL EDUCATION CENTER,,101902013,101902,101,04,HARRIS,S,09 - 12,N,,,1
ALDINE ISD,HAMBRICK MIDDLE,S,101902043,101902,101,04,HARRIS,M,07 - 08,N,,,R
ALDINE ISD,HARRIS ACADEMY,A,101902129,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,HILL INT,,101902069,101902,101,04,HARRIS,M,05 - 06,N,,,A
ALDINE ISD,HINOJOSA EC/PRE-K CENTER,,101902153,101902,101,04,HARRIS,E,EE - PK,N,101902119,STEPHENS EL,X
ALDINE ISD,HOFFMAN MIDDLE,,101902046,101902,101,04,HARRIS,M,07 - 08,N,,,A
ALDINE ISD,HOUSTON ACADEMY,AMNZ,101902062,101902,101,04,HARRIS,M,05 - 06,N,,,R
ALDINE ISD,JOHNSON EL,,101902116,101902,101,04,HARRIS,E,KG - 04,N,,,A
ALDINE ISD,JONES EC/PRE-K CENTER,,101902165,101902,101,04,HARRIS,E,EE - KG,N,101902134,JONES EL,X
ALDINE ISD,JONES EL,X,101902134,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,KEEBLE EC/PRE-K CENTER,,101902151,101902,101,04,HARRIS,E,EE - PK,N,101902131,BUSSEY EL,X
ALDINE ISD,KUJAWA EC/PRE-K CENTER,,101902164,101902,101,04,HARRIS,E,EE - PK,N,101902130,KUJAWA EL,X
ALDINE ISD,KUJAWA EL,X,101902130,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,LANE SCHOOL,,101902108,101902,101,04,HARRIS,B,EE - 12,N,,,A
ALDINE ISD,LEWIS MIDDLE,S,101902052,101902,101,04,HARRIS,M,07 - 08,N,,,A
ALDINE ISD,MACARTHUR H S,RJS,101902003,101902,101,04,HARRIS,S,09 - 12,N,,,A
ALDINE ISD,MACARTHUR NINTH GRADE SCHOOL,,101902083,101902,101,04,HARRIS,S,09 - 09,N,,,R
ALDINE ISD,MAGRILL EL,EM,101902120,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,MARCELLA INT,ANZ,101902070,101902,101,04,HARRIS,M,05 - 06,N,,,R
ALDINE ISD,MENDEL ELEMENTARY,AEM,101902109,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,NIMITZ H S,S,101902005,101902,101,04,HARRIS,S,09 - 12,N,,,A
ALDINE ISD,NIMITZ NINTH GRADE SCHOOL,,101902085,101902,101,04,HARRIS,S,09 - 09,N,,,A
ALDINE ISD,ODOM EL,AMX,101902115,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,OLESON EL,AEWMX,101902111,101902,101,04,HARRIS,E,KG - 04,N,,,E
ALDINE ISD,ORANGE GROVE EL,E,101902112,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,PARKER INT,AY,101902065,101902,101,04,HARRIS,M,05 - 06,N,,,A
ALDINE ISD,PLUMMER MIDDLE SCHOOL,SX,101902051,101902,101,04,HARRIS,M,07 - 08,N,,,R
ALDINE ISD,RAYFORD INT,Y,101902072,101902,101,04,HARRIS,M,05 - 06,N,,,R
ALDINE ISD,RAYMOND ACADEMY,M,101902113,101902,101,04,HARRIS,E,KG - 04,N,,,E
ALDINE ISD,REECE ACADEMY,,101902104,101902,101,04,HARRIS,E,PK - KG,N,101902101,ANDERSON ACADEMY,X
ALDINE ISD,REED ACADEMY,A,101902068,101902,101,04,HARRIS,M,05 - 06,N,,,A
ALDINE ISD,SAMMONS EL,AEX,101902118,101902,101,04,HARRIS,E,KG - 04,N,,,E
ALDINE ISD,SHOTWELL MIDDLE,S,101902047,101902,101,04,HARRIS,M,07 - 08,N,,,A
ALDINE ISD,SMITH ACADEMY,EMX,101902114,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,SPENCE EL,,101902132,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,STEHLIK INT,ANZ,101902064,101902,101,04,HARRIS,M,05 - 06,N,,,R
ALDINE ISD,STEPHENS EL,AEMX,101902119,101902,101,04,HARRIS,E,KG - 04,N,,,E
ALDINE ISD,STOVALL ACADEMY,X,101902127,101902,101,04,HARRIS,E,KG - 04,N,,,A
ALDINE ISD,STOVALL MIDDLE,S,101902044,101902,101,04,HARRIS,M,07 - 08,N,,,R
ALDINE ISD,TEAGUE MIDDLE,SX,101902045,101902,101,04,HARRIS,M,07 - 08,N,,,A
ALDINE ISD,THOMPSON EL,AEWMX,101902117,101902,101,04,HARRIS,E,KG - 04,N,,,E
ALDINE ISD,VICTORY EARLY COLLEGE H S,ADUVEMNS,101902008,101902,101,04,HARRIS,S,09 - 12,N,,,E
ALDINE ISD,VINES EC/PRE-K CENTER,,101902154,101902,101,04,HARRIS,E,EE - PK,N,101902121,ERMEL EL,X
ALDINE ISD,WILSON INT,,101902067,101902,101,04,HARRIS,M,05 - 06,N,,,R
ALDINE ISD,WORSHAM EL,AEM,101902110,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALEDO ISD,ALEDO H S,PCRVJS,184907001,184907,184,11,PARKER,S,10 - 12,N,,,A
ALEDO ISD,ALEDO MIDDLE,EWSX,184907041,184907,184,11,PARKER,M,07 - 08,N,,,A
ALEDO ISD,ALEDO NINTH GRADE CAMPUS,EM,184907009,184907,184,11,PARKER,S,09 - 09,N,,,E
ALEDO ISD,CODER EL,EWMN,184907102,184907,184,11,PARKER,E,EE - 05,N,,,E
ALEDO ISD,MCANALLY INT,X,184907110,184907,184,11,PARKER,M,06 - 06,N,,,R
ALEDO ISD,MCCALL EL,MN,184907104,184907,184,11,PARKER,E,KG - 05,N,,,R
ALEDO ISD,STUARD EL,EWMN,184907103,184907,184,11,PARKER,E,KG - 05,N,,,E
ALEDO ISD,VANDAGRIFF EL,EWNY,184907101,184907,184,11,PARKER,E,KG - 05,N,,,E
ALICE ISD,ADAMS MIDDLE,,125901043,125901,125,02,JIM WELLS,M,07 - 08,N,,,A
ALICE ISD,ALICE H S,,125901001,125901,125,02,JIM WELLS,S,09 - 12,N,,,L
ALICE ISD,DUBOSE INT,,125901041,125901,125,02,JIM WELLS,M,05 - 06,N,,,A
ALICE ISD,GARCIA EL,E,125901102,125901,125,02,JIM WELLS,E,EE - 04,N,,,R
ALICE ISD,HILLCREST EL,EMX,125901101,125901,125,02,JIM WELLS,E,PK - 04,N,,,R
ALICE ISD,MEMORIAL INT,Z,125901042,125901,125,02,JIM WELLS,M,05 - 06,N,,,A
ALICE ISD,NOONAN EL,WMX,125901104,125901,125,02,JIM WELLS,E,EE - 04,N,,,R
ALICE ISD,SAENZ EL,E,125901105,125901,125,02,JIM WELLS,E,EE - 04,N,,,R
ALICE ISD,SALAZAR EL,WMX,125901106,125901,125,02,JIM WELLS,E,KG - 04,N,,,R
ALICE ISD,SCHALLERT EL,EMX,125901107,125901,125,02,JIM WELLS,E,PK - 04,N,,,R
ALIEF ISD,ADMIN SERVICES,,101903199,101903,101,04,HARRIS,B,KG - 12,N,,,X
ALIEF ISD,ALBRIGHT MIDDLE,EWS,101903045,101903,101,04,HARRIS,M,07 - 08,N,,,R
ALIEF ISD,ALEXANDER EL,,101903114,101903,101,04,HARRIS,E,EE - 04,N,,,R
ALIEF ISD,ALIEF EARLY COLLEGE H S,ADS,101903012,101903,101,04,HARRIS,S,09 - 11,N,,,R
ALIEF ISD,ALIEF ISD J J A E P,,101903047,101903,101,04,HARRIS,S,07 - 11,N,,,X
ALIEF ISD,ALIEF MIDDLE,,101903041,101903,101,04,HARRIS,M,06 - 08,N,,,A
ALIEF ISD,BEST EL,,101903118,101903,101,04,HARRIS,E,PK - 04,N,,,A
ALIEF ISD,BOONE EL,,101903102,101903,101,04,HARRIS,E,PK - 04,N,,,A
ALIEF ISD,BUDEWIG INT,Z,101903145,101903,101,04,HARRIS,M,05 - 06,N,,,A
ALIEF ISD,BUSH EL,E,101903121,101903,101,04,HARRIS,E,PK - 04,N,,,R
ALIEF ISD,CHAMBERS EL,X,101903104,101903,101,04,HARRIS,E,PK - 04,N,,,R
ALIEF ISD,CHANCELLOR EL,EMNX,101903108,101903,101,04,HARRIS,E,EE - 05,N,,,R
ALIEF ISD,COLLINS EL,N,101903122,101903,101,04,HARRIS,E,PK - 05,N,,,R
ALIEF ISD,CUMMINGS EL,,101903112,101903,101,04,HARRIS,E,EE - 04,N,,,R
ALIEF ISD,ELSIK H S,S,101903002,101903,101,04,HARRIS,S,09 - 12,N,,,A
ALIEF ISD,HASTINGS H S,JS,101903001,101903,101,04,HARRIS,S,09 - 12,N,,,A
ALIEF ISD,HEARNE EL,EZ,101903115,101903,101,04,HARRIS,E,EE - 04,N,,,A
