"ABBOTT ISD","ABBOTT SCHOOL","109901001","109901","PK - 12","B","109","12","HILL","","N","E","AT","M","","N"
"ABERNATHY ISD","ABERNATHY ACAD","095901002","095901","07 - 12","S","095","17","HALE","","N","N","NR","","","N"
"ABERNATHY ISD","ABERNATHY EL","095901101","095901","EE - 05","E","095","17","HALE","","N","R","NA","NQ","","N"
"ABERNATHY ISD","ABERNATHY H S","095901001","095901","09 - 12","S","095","17","HALE","","N","R","NQ","NQ","","N"
"ABERNATHY ISD","ABERNATHY J H","095901041","095901","06 - 08","M","095","17","HALE","","N","A","NA","NQ","","N"
"ABILENE ISD","ABILENE H S","221901001","221901","09 - 12","S","221","14","TAYLOR","","N","A","NQ","NQ","","N"
"ABILENE ISD","ABILENE STATE SCH","221901129","221901","07 - 12","S","221","14","TAYLOR","","N","N","NR","","","N"
"ABILENE ISD","ALTA VISTA EL","221901101","221901","EE - 05","E","221","14","TAYLOR","","N","E","NA","NQ","","N"
"ABILENE ISD","AUSTIN EL","221901102","221901","KG - 05","E","221","14","TAYLOR","","N","E","NA","NQ","","N"
"ABILENE ISD","BASSETTI EL","221901153","221901","EE - 05","E","221","14","TAYLOR","","N","E","NA","NQ","","N"
"ABILENE ISD","BONHAM EL","221901103","221901","KG - 05","E","221","14","TAYLOR","","N","E","NA","NQ","","N"
"ABILENE ISD","BOWIE EL","221901104","221901","KG - 05","E","221","14","TAYLOR","","N","R","NA","NQ","","N"
"ABILENE ISD","CLACK MIDDLE","221901047","221901","06 - 08","M","221","14","TAYLOR","","N","A","NA","NQ","","N"
"ABILENE ISD","COLLEGE HEIGHTS EL","221901106","221901","KG - 05","E","221","14","TAYLOR","","N","A","NA","NQ","","N"
"ABILENE ISD","COOPER H S","221901002","221901","09 - 12","S","221","14","TAYLOR","","N","A","NQ","NQ","","N"
"ABILENE ISD","CROCKETT EL","221901107","221901","KG - 05","E","221","14","TAYLOR","","N","R","NA","NQ","","N"
"ABILENE ISD","DYESS EL","221901108","221901","EE - 05","E","221","14","TAYLOR","","N","E","NA","NQ","","N"
"ABILENE ISD","EXCEL ALTER H S","221901003","221901","09 - 12","S","221","14","TAYLOR","","N","1","PE","","","N"
"ABILENE ISD","FANNIN EL","221901110","221901","EE - 05","E","221","14","TAYLOR","","N","A","NA","NQ","","N"
"ABILENE ISD","FRANKLIN MIDDLE","221901041","221901","06 - 08","M","221","14","TAYLOR","","N","A","NA","NQ","","N"
"ABILENE ISD","HOUSTON STUDENT ACH CTR","221901124","221901","01 - 11","B","221","14","TAYLOR","","N","N","NR","","","N"
"ABILENE ISD","JACKSON EL","221901112","221901","EE - 05","E","221","14","TAYLOR","","N","E","NA","RM","","N"
"ABILENE ISD","JEFFERSON MIDDLE","221901042","221901","06 - 08","M","221","14","TAYLOR","","N","A","NA","NQ","","N"
