"ABILENE ISD","JOHNSTON EL","221901113","221901","KG - 05","E","221","14","TAYLOR","","N","R","NA","R","","N"
"ABILENE ISD","JONES EL","221901114","221901","KG - 05","E","221","14","TAYLOR","","N","R","NA","NQ","","N"
"ABILENE ISD","LACY SCH","221901139","221901","06 - 10","B","221","14","TAYLOR","","N","N","NR","","","N"
"ABILENE ISD","LEE EL","221901116","221901","KG - 05","E","221","14","TAYLOR","","N","A","NA","NQ","","N"
"ABILENE ISD","LILLY SMITH FARMER CTR","221901141","221901","02 - 09","B","221","14","TAYLOR","","N","N","NR","","","N"
"ABILENE ISD","LINCOLN MIDDLE","221901043","221901","06 - 08","M","221","14","TAYLOR","","N","A","NA","NQ","","N"
"ABILENE ISD","LOCUST PRE-K","221901117","221901","EE - PK","E","221","14","TAYLOR","","N","N","NR","","","N"
"ABILENE ISD","LONG EL","221901118","221901","KG - 05","E","221","14","TAYLOR","","N","E","NA","R","","N"
"ABILENE ISD","MADISON MIDDLE","221901044","221901","06 - 08","M","221","14","TAYLOR","","N","R","NA","NQ","","N"
"ABILENE ISD","MANN MIDDLE","221901045","221901","06 - 08","M","221","14","TAYLOR","","N","A","NA","NQ","","N"
"ABILENE ISD","ORTIZ EL","221901152","221901","KG - 05","E","221","14","TAYLOR","","N","A","NA","NQ","","N"
"ABILENE ISD","REAGAN EL","221901120","221901","KG - 05","E","221","14","TAYLOR","","N","A","NA","NQ","","N"
"ABILENE ISD","SCHOOL AGE MOTHERS","221901122","221901","07 - 12","S","221","14","TAYLOR","","N","N","NR","","","N"
"ABILENE ISD","SP ED HOMEBOUND","221901127","221901","03 - 12","B","221","14","TAYLOR","","N","N","NR","","","N"
"ABILENE ISD","SP ED O J T","221901128","221901","EE - 12","B","221","14","TAYLOR","","N","N","NR","","","N"
"ABILENE ISD","TAYLOR EL","221901121","221901","EE - 05","E","221","14","TAYLOR","","N","E","NA","R","","N"
"ABILENE ISD","THOMAS EL","221901151","221901","EE - 05","E","221","14","TAYLOR","","N","A","NA","NQ","","N"
"ABILENE ISD","TRAVIS OPPORTUNITY CTR","221901006","221901","06 - 12","B","221","14","TAYLOR","","N","3","PE","","","N"
"ABILENE ISD","VALLEY VIEW EL","221901123","221901","KG - 05","E","221","14","TAYLOR","","N","A","NA","NQ","","N"
"ABILENE ISD","WARD EL","221901150","221901","EE - 05","E","221","14","TAYLOR","","N","E","NA","NQ","","N"
"ABILENE ISD","WOODSON PRE-K","221901125","221901","EE - PK","E","221","14","TAYLOR","","N","N","NR","","","N"
"ABILENE ISD","WOODSON PROJECT PASS","221901046","221901","06 - 08","M","221","14","TAYLOR","","N","1","PE","","","N"
"ABILENE ISD","WOODSON SKILL CTR","221901126","221901","04 - 10","B","221","14","TAYLOR","","N","N","NR","","","N"
"ACADEMY ISD","ACADEMY EL","014901101","014901","EE - 04","E","014","12","BELL","","N","E","NA","NQ","","N"
"ACADEMY ISD","ACADEMY H S","014901001","014901","09 - 12","S","014","12","BELL","","N","E","NQ","NQ","","N"
"ACADEMY ISD","ACADEMY J H","014901041","014901","05 - 08","M","014","12","BELL","","N","R","NA","R","","N"
"ACADEMY OF TRANSITIONAL STUDIES","ACADEMY OF TRANSITIONAL STUDIES","178801001","178801","06 - 12","B","178","02","NUECES","","N","2","PE","","","Y"
"ADRIAN ISD","ADRIAN SCHOOL","180903001","180903","KG - 12","B","180","16","OLDHAM","","N","E","AC","NQ","","N"
"AGUA DULCE ISD","AGUA DULCE EL","178901101","178901","EE - 05","E","178","02","NUECES","","N","R","NA","NQ","","N"
"AGUA DULCE ISD","AGUA DULCE H S","178901001","178901","09 - 12","S","178","02","NUECES","","N","E","NQ","NQ","","N"
"AGUA DULCE ISD","AGUA DULCE J H","178901041","178901","06 - 08","M","178","02","NUECES","","N","A","NA","NQ","","N"
"ALAMO HEIGHTS ISD","ALAMO HEIGHTS H S","015901001","015901","09 - 12","S","015","20","BEXAR","","N","A","NQ","R","","N"
"ALAMO HEIGHTS ISD","ALAMO HEIGHTS J H","015901041","015901","06 - 08","M","015","20","BEXAR","","N","A","NA","RM","","N"
"ALAMO HEIGHTS ISD","BEXAR CO J J A E P","015901002","015901","08 - 08","M","015","20","BEXAR","","N","N","NR","","","N"
"ALAMO HEIGHTS ISD","CAMBRIDGE EL","015901101","015901","01 - 05","E","015","20","BEXAR","","N","A","NA","NQ","","N"
"ALAMO HEIGHTS ISD","HOWARD EL","015901102","015901","EE - KG","E","015","20","BEXAR","","N","N","NR","","","N"
"ALAMO HEIGHTS ISD","WOODRIDGE EL","015901104","015901","01 - 05","E","015","20","BEXAR","","N","A","NA","NQ","","N"
"ALBA-GOLDEN ISD","ALBA-GOLDEN EL","250906101","250906","PK - 06","E","250","07","WOOD","","N","A","NA","NQ","","N"
"ALBA-GOLDEN ISD","ALBA-GOLDEN H S","250906001","250906","07 - 12","S","250","07","WOOD","","N","A","NQ","R","","N"
"ALBA-GOLDEN ISD","ALTER SCHOOL","250906002","250906","07 - 12","S","250","07","WOOD","","N","1","PE","","","N"
"ALBANY ISD","ALBANY JR-SR H S","209901001","209901","07 - 12","S","209","14","SHACKELFORD","","N","E","NQ","NQ","","N"
"ALBANY ISD","NANCY SMITH EL","209901101","209901","EE - 06","E","209","14","SHACKELFORD","","N","E","NA","NQ","","N"
"ALDINE ISD","ALDINE H S","101902001","101902","09 - 12","S","101","04","HARRIS","","N","A","NQ","NQ","","N"
"ALDINE ISD","ALDINE J J A E P","101902099","101902","09 - 11","S","101","04","HARRIS","","N","N","NR","","","N"
"ALDINE ISD","ALDINE MIDDLE","101902041","101902","07 - 08","M","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","ANDERSON ACAD","101902101","101902","01 - 03","E","101","04","HARRIS","","N","R","NA","NQ","BETHUNE ACADEMY","N"
"ALDINE ISD","BETHUNE ACAD","101902102","101902","04 - 05","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALDINE ISD","BLACK EL","101902126","101902","PK - 04","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALDINE ISD","CALVERT EL","101902128","101902","EE - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","CARAWAY INT","101902066","101902","05 - 06","M","101","04","HARRIS","","P","R","NA","NQ","","N"
"ALDINE ISD","CARMICHAEL EL","101902122","101902","EE - 04","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALDINE ISD","CARROLL ACADEMY","101902103","101902","EE - 04","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALDINE ISD","CARVER CONTEMP H S","101902002","101902","09 - 12","S","101","04","HARRIS","","N","A","NQ","NQ","","N"
"ALDINE ISD","CHESTER W NIMITZ H S","101902005","101902","09 - 12","S","101","04","HARRIS","","N","A","NQ","NQ","","N"
"ALDINE ISD","COLONIAL HILLS EL","101902115","101902","PK - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","CONLEY EL","101902123","101902","PK - 04","E","101","04","HARRIS","","N","E","NA","NQ","","N"
"ALDINE ISD","DREW ACAD","101902042","101902","06 - 08","M","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","DUNN EL","101902124","101902","EE - 04","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALDINE ISD","ECKERT INT","101902061","101902","05 - 06","M","101","04","HARRIS","","N","A","NA","R","","N"
"ALDINE ISD","EE-PK # 1","101902153","101902","EE - PK","E","101","04","HARRIS","","N","N","NR","","","N"
"ALDINE ISD","EISENHOWER H S","101902004","101902","09 - 12","S","101","04","HARRIS","","N","A","NQ","NQ","","N"
"ALDINE ISD","ERMEL EL","101902121","101902","EE - 04","E","101","04","HARRIS","","P","A","NA","NQ","","N"
"ALDINE ISD","ESCAMILLA INT","101902063","101902","05 - 06","M","101","04","HARRIS","","N","R","NA","R","","N"
"ALDINE ISD","EVELYN S THOMPSON EL","101902117","101902","EE - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","FRANCIS EL","101902105","101902","EE - 04","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALDINE ISD","GRAY EL","101902125","101902","EE - 04","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALDINE ISD","HAMBRICK MIDDLE","101902043","101902","07 - 08","M","101","04","HARRIS","","N","R","NA","R","","N"
"ALDINE ISD","HIDDEN VALLEY EL","101902106","101902","EE - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","HOFFMAN MIDDLE","101902046","101902","07 - 08","M","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","INWOOD ACADEMY","101902114","101902","EE - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","JOHNSON EL","101902116","101902","KG - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","LANE SCH","101902108","101902","EE - 12","B","101","04","HARRIS","","N","N","NR","","","N"
"ALDINE ISD","MACARTHUR H S","101902003","101902","09 - 12","S","101","04","HARRIS","","N","A","NQ","NQ","","N"
"ALDINE ISD","MAGRILL EL","101902120","101902","EE - 04","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALDINE ISD","MENDEL EL","101902109","101902","KG - 04","E","101","04","HARRIS","","N","E","NA","NQ","","N"
"ALDINE ISD","NIGHT H S","101902006","101902","09 - 12","S","101","04","HARRIS","","N","2","PE","","","N"
"ALDINE ISD","OLESON EL","101902111","101902","KG - 04","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALDINE ISD","ORANGE GROVE EL","101902112","101902","EE - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","PARKER INT","101902065","101902","05 - 06","M","101","04","HARRIS","","N","R","NA","R","","N"
"ALDINE ISD","PROJECT RECOVERY","101902009","101902","07 - 12","S","101","04","HARRIS","","N","1","PE","","","N"
"ALDINE ISD","RAYMOND EL","101902113","101902","EE - 04","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALDINE ISD","REECE ACADEMY","101902104","101902","PK - KG","E","101","04","HARRIS","","N","N","NR","","","N"
"ALDINE ISD","RUBY REED INT","101902068","101902","05 - 06","M","101","04","HARRIS","","N","R","NA","RM","","N"
"ALDINE ISD","SAMMONS EL","101902118","101902","EE - 04","E","101","04","HARRIS","","N","R","NA","R","","N"
"ALDINE ISD","SHOTWELL MIDDLE","101902047","101902","07 - 08","M","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","STEHLIK INT","101902064","101902","05 - 06","M","101","04","HARRIS","","N","R","NA","R","","N"
"ALDINE ISD","STEPHENS EL","101902119","101902","KG - 04","E","101","04","HARRIS","","N","E","NA","NQ","","N"
"ALDINE ISD","STOVALL ACADEMY","101902127","101902","EE - 04","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALDINE ISD","STOVALL MIDDLE","101902044","101902","07 - 08","M","101","04","HARRIS","","P","A","NA","NQ","","N"
"ALDINE ISD","T S GRANTHAM MIDDLE","101902048","101902","07 - 08","M","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALDINE ISD","TEAGUE MIDDLE","101902045","101902","07 - 08","M","101","04","HARRIS","","N","E","NA","NQ","","N"
"ALDINE ISD","WILSON INT","101902067","101902","05 - 06","M","101","04","HARRIS","","N","R","NA","RM","","N"
"ALDINE ISD","WORSHAM EL","101902110","101902","KG - 04","E","101","04","HARRIS","","N","E","NA","M","","N"
"ALEDO ISD","ALEDO EL","184907102","184907","EE - 02","E","184","11","PARKER","184907101","N","E","NA","NQ","ALEDO INT.","N"
"ALEDO ISD","ALEDO H S","184907001","184907","09 - 12","S","184","11","PARKER","","N","R","NQ","NQ","","N"
"ALEDO ISD","ALEDO INT","184907101","184907","03 - 05","E","184","11","PARKER","","N","E","NA","NQ","","N"
"ALEDO ISD","ALEDO MIDDLE","184907041","184907","06 - 08","M","184","11","PARKER","","N","E","NA","NQ","","N"
"ALICE ISD","ADAMS J H","125901043","125901","08 - 09","M","125","02","JIM WELLS","","N","A","NA","NQ","","N"
"ALICE ISD","ALICE H S","125901001","125901","10 - 12","S","125","02","JIM WELLS","","N","A","NQ","NQ","","N"
"ALICE ISD","DUBOSE MIDDLE","125901041","125901","06 - 07","M","125","02","JIM WELLS","","N","A","NA","R","","N"
"ALICE ISD","GARCIA EL","125901102","125901","KG - 05","E","125","02","JIM WELLS","","N","A","NA","NQ","","N"
"ALICE ISD","HILLCREST EL","125901101","125901","KG - 05","E","125","02","JIM WELLS","","N","A","NA","NQ","","N"
"ALICE ISD","MEMORIAL MIDDLE","125901042","125901","06 - 07","M","125","02","JIM WELLS","","N","A","NA","NQ","","N"
"ALICE ISD","NAYER EL","125901103","125901","EE - 05","E","125","02","JIM WELLS","","N","R","NA","NQ","","N"
"ALICE ISD","NOONAN EL","125901104","125901","KG - 05","E","125","02","JIM WELLS","","N","A","NA","NQ","","N"
"ALICE ISD","SAENZ EL","125901105","125901","KG - 05","E","125","02","JIM WELLS","","N","A","NA","NQ","","N"
"ALICE ISD","SALAZAR EL","125901106","125901","KG - 05","E","125","02","JIM WELLS","","N","A","NA","NQ","","N"
"ALICE ISD","SCHALLERT EL","125901107","125901","KG - 05","E","125","02","JIM WELLS","","N","A","NA","R","","N"
"ALIEF ISD","A J MARTIN EL","101903103","101903","EE - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","ADMIN SERVICES","101903199","101903","02 - 12","B","101","04","HARRIS","","N","N","NR","","","N"
"ALIEF ISD","ALBRIGHT MIDDLE","101903045","101903","06 - 08","M","101","04","HARRIS","","N","A","NA","R","","N"
"ALIEF ISD","ALIEF LEARNING CTR","101903005","101903","KG - 12","B","101","04","HARRIS","","N","1","PE","","","N"
"ALIEF ISD","ALIEF MIDDLE","101903041","101903","06 - 08","M","101","04","HARRIS","","N","A","NA","R","","N"
"ALIEF ISD","AUDREY JUDY BUSH EL","101903121","101903","PK - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","BEST EL","101903118","101903","EE - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","BOONE EL","101903102","101903","PK - 05","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","CHANCELLOR EL","101903108","101903","EE - 05","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALIEF ISD","CUMMINGS EL","101903112","101903","EE - 04","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALIEF ISD","DEBORAH ALEXANDER EL","101903114","101903","EE - 05","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","DON P KILLOUGH MIDDLE","101903043","101903","07 - 08","M","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","DOUGLAS SMITH EL","101903105","101903","EE - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","E A OLLE MIDDLE","101903042","101903","06 - 08","M","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","ELSIK H S","101903002","101903","09 - 12","S","101","04","HARRIS","","N","A","NQ","NQ","","N"
"ALIEF ISD","FLEM REES EL","101903113","101903","EE - 05","E","101","04","HARRIS","","N","R","NA","R","","N"
"ALIEF ISD","HASTINGS H S","101903001","101903","09 - 12","S","101","04","HARRIS","","N","A","NQ","NQ","","N"
"ALIEF ISD","HEARNE EL","101903115","101903","EE - 05","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALIEF ISD","HEFLIN EL","101903111","101903","EE - 05","E","101","04","HARRIS","","N","E","NA","R","","N"
"ALIEF ISD","HICKS EL","101903120","101903","EE - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","JAMES HOLUB MIDDLE","101903044","101903","06 - 08","M","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALIEF ISD","KERR H S","101903006","101903","09 - 12","S","101","04","HARRIS","","N","R","NQ","NQ","","N"
"ALIEF ISD","KLENTZMAN INT","101903141","101903","05 - 06","M","101","04","HARRIS","","N","A","NA","R","","N"
"ALIEF ISD","LIESTMAN EL","101903109","101903","EE - 04","E","101","04","HARRIS","","N","R","NA","R","","N"
"ALIEF ISD","MICHAEL KENNEDY EL","101903107","101903","EE - 05","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALIEF ISD","MILDRED V LANDIS EL","101903116","101903","EE - 05","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","O'DONNELL MIDDLE","101903046","101903","06 - 08","M","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","OUTLEY EL","101903119","101903","EE - 05","E","101","04","HARRIS","","N","R","NA","NQ","","N"
"ALIEF ISD","OWENS INT","101903140","101903","05 - 06","M","101","04","HARRIS","","N","R","NA","R","","N"
"ALIEF ISD","PETROSKY EL","101903110","101903","EE - 05","E","101","04","HARRIS","","N","R","NA","R","","N"
"ALIEF ISD","SNEED EL","101903117","101903","EE - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","V G CHAMBERS EL","101903104","101903","EE - 04","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","VIOLA MAHANAY EL","101903106","101903","EE - 05","E","101","04","HARRIS","","N","R","NA","M","","N"
"ALIEF ISD","YOUENS EL","101903101","101903","EE - 05","E","101","04","HARRIS","","N","A","NA","NQ","","N"
"ALIEF ISD","YOUNGBLOOD INT","101903142","101903","05 - 06","M","101","04","HARRIS","","N","A","NA","R","","N"
"ALLEN ISD","ALLEN H S","043901001","043901","09 - 12","S","043","10","COLLIN","","N","R","NQ","NQ","","N"
"ALLEN ISD","ALTON BOYD EL","043901102","043901","EE - 06","E","043","10","COLLIN","","N","R","NA","NQ","","N"
"ALLEN ISD","ALVIS C STORY EL","043901105","043901","EE - 06","E","043","10","COLLIN","","N","R","NA","NQ","","N"
"ALLEN ISD","COLLIN CO J J A E P","043901003","043901","07 - 09","M","043","10","COLLIN","","N","N","NR","","","N"
"ALLEN ISD","D L ROUNTREE EL","043901101","043901","EE - 06","E","043","10","COLLIN","","N","R","NA","NQ","","N"
"ALLEN ISD","FLOSSIE FLOYD GREEN EL","043901107","043901","EE - 06","E","043","10","COLLIN","","N","R","NA","NQ","","N"
"ALLEN ISD","FRANCES E NORTON EL","043901108","043901","EE - 06","E","043","10","COLLIN","","N","R","NA","R","","N"
"ALLEN ISD","GENE M REED JR EL","043901104","043901","EE - 06","E","043","10","COLLIN","","N","E","NA","NQ","","N"
"ALLEN ISD","GEORGE J ANDERSON EL","043901109","043901","EE - 06","E","043","10","COLLIN","","N","R","NA","NQ","","N"
"ALLEN ISD","MAX O VAUGHAN EL","043901106","043901","EE - 06","E","043","10","COLLIN","","N","E","NA","NQ","","N"
"ALLEN ISD","W E PETE FORD MIDDLE","043901042","043901","07 - 09","M","043","10","COLLIN","","N","E","NA","NQ","","N"
"ALLEN ISD","WALTER & LOIS CURTIS MIDDLE","043901043","043901","07 - 09","M","043","10","COLLIN","","N","E","NA","NQ","","N"
"ALLISON ISD","ALLISON SCHOOL","242904001","242904","KG - 12","B","242","16","WHEELER","","N","A","NQ","NQ","","N"
"ALPINE ISD","ALPINE ALTER ED PLACEMENT","022901002","022901","08 - 09","M","022","18","BREWSTER","","N","N","NR","","","N"
"ALPINE ISD","ALPINE EARLY CHILDHOOD","022901102","022901","EE - PK","E","022","18","BREWSTER","","N","N","NR","","","N"
"ALPINE ISD","ALPINE EL","022901101","022901","KG - 04","E","022","18","BREWSTER","","N","A","NA","NQ","","N"
"ALPINE ISD","ALPINE H S","022901001","022901","09 - 12","S","022","18","BREWSTER","","N","A","NQ","NQ","","N"
"ALPINE ISD","ALPINE J H","022901041","022901","05 - 08","M","022","18","BREWSTER","","N","A","NA","NQ","","N"
"ALTO ISD","ALTO EL","037901101","037901","PK - 04","E","037","07","CHEROKEE","","N","A","NA","NQ","","N"
"ALTO ISD","ALTO H S","037901001","037901","09 - 12","S","037","07","CHEROKEE","","N","R","NQ","NQ","","N"
"ALTO ISD","ALTO MIDDLE","037901041","037901","05 - 08","M","037","07","CHEROKEE","","N","A","NA","NQ","","N"
"ALTO ISD","CHEROKEE COUNTY CO-OP","037901002","037901","09 - 12","S","037","07","CHEROKEE","","N","1","PE","","","N"
"ALVARADO ISD","ALVARADO EL-NORTH","126901102","126901","EE - 04","E","126","11","JOHNSON","","N","A","NA","NQ","","N"
"ALVARADO ISD","ALVARADO EL-SOUTH","126901101","126901","KG - 04","E","126","11","JOHNSON","","N","A","NA","NQ","","N"
"ALVARADO ISD","ALVARADO H S","126901001","126901","09 - 12","S","126","11","JOHNSON","","N","R","NQ","NQ","","N"
"ALVARADO ISD","ALVARADO INT","126901104","126901","05 - 06","M","126","11","JOHNSON","","N","R","NA","RM","","N"
"ALVARADO ISD","ALVARADO J H","126901041","126901","07 - 08","M","126","11","JOHNSON","","N","A","NA","NQ","","N"
"ALVARADO ISD","LILLIAN EL","126901103","126901","KG - 04","E","126","11","JOHNSON","","N","A","NA","NQ","","N"
"ALVIN ISD","ALVIN EL","020901101","020901","04 - 06","E","020","04","BRAZORIA","","N","A","NA","NQ","","N"
"ALVIN ISD","ALVIN H S","020901001","020901","EE - 12","B","020","04","BRAZORIA","","N","A","NQ","NQ","","N"
"ALVIN ISD","ALVIN J H","020901041","020901","07 - 08","M","020","04","BRAZORIA","","N","A","NA","NQ","","N"
"ALVIN ISD","ALVIN PRI","020901102","020901","EE - 03","E","020","04","BRAZORIA","","N","A","NA","NQ","ALVIN ELEM.","N"
"ALVIN ISD","ASSETS LEARNING CTR","020901044","020901","07 - 08","M","020","04","BRAZORIA","","N","A","NA","NQ","","N"
"ALVIN ISD","DAY STAR RESIDENTIAL","020901200","020901","EE - 11","B","020","04","BRAZORIA","","N","N","NR","","","N"
"ALVIN ISD","E C MASON PRI","020901105","020901","EE - 05","E","020","04","BRAZORIA","","N","R","NA","NQ","","N"
"ALVIN ISD","G W HARBY J H","020901043","020901","07 - 08","M","020","04","BRAZORIA","","N","A","NA","NQ","","N"
"ALVIN ISD","HOOD CASE EL","020901109","020901","EE - 06","E","020","04","BRAZORIA","","N","R","NA","R","","N"
"ALVIN ISD","LONGFELLOW EL","020901104","020901","04 - 06","E","020","04","BRAZORIA","","N","R","NA","NQ","","N"
"ALVIN ISD","MANVEL J H","020901042","020901","06 - 08","M","020","04","BRAZORIA","","N","R","NA","NQ","","N"
"ALVIN ISD","MARK TWAIN PRI","020901103","020901","EE - 03","E","020","04","BRAZORIA","","N","R","NA","NQ","LONGFELLOW ELEM.","N"
"ALVIN ISD","MELBA PASSMORE EL","020901108","020901","EE - 06","E","020","04","BRAZORIA","","N","R","NA","NQ","","N"
"ALVIN ISD","R L STEVENSON EL","020901106","020901","EE - 03","E","020","04","BRAZORIA","","N","E","NA","NQ","WALT DISNEY ELEM.","N"
"ALVIN ISD","WALT DISNEY EL","020901107","020901","04 - 06","E","020","04","BRAZORIA","","N","R","NA","NQ","","N"
"ALVORD ISD","ALVORD EL","249901101","249901","KG - 05","E","249","11","WISE","","N","R","NA","NQ","","N"
"ALVORD ISD","ALVORD H S","249901001","249901","09 - 12","S","249","11","WISE","","N","R","NQ","NQ","","N"
"ALVORD ISD","ALVORD J H","249901041","249901","06 - 08","M","249","11","WISE","","N","A","NA","NQ","","N"
"AMARILLO ISD","AMARILLO CTR ADVANCED LRN","188901003","188901","09 - 12","S","188","16","POTTER","","N","A","NA","NQ","","N"
"AMARILLO ISD","AMARILLO H S","188901001","188901","09 - 12","S","188","16","POTTER","","N","R","NQ","NQ","","N"
"AMARILLO ISD","AUSTIN MIDDLE","188901041","188901","06 - 08","M","188","16","POTTER","","N","A","NA","NQ","","N"
"AMARILLO ISD","AVONDALE EL","188901101","188901","PK - 05","E","188","16","POTTER","","N","R","NA","NQ","","N"
"AMARILLO ISD","BELMAR EL","188901102","188901","EE - 05","E","188","16","POTTER","","N","E","NA","NQ","","N"
"AMARILLO ISD","BIVINS EL","188901103","188901","PK - 05","E","188","16","POTTER","","N","A","NA","NQ","","N"
"AMARILLO ISD","BONHAM MIDDLE","188901048","188901","06 - 08","M","188","16","POTTER","","N","E","NA","NQ","","N"
"AMARILLO ISD","BOWIE MIDDLE","188901042","188901","06 - 08","M","188","16","POTTER","","N","A","NA","NQ","","N"
"AMARILLO ISD","CAPROCK H S","188901002","188901","EE - 12","B","188","16","POTTER","","N","L","NE","NE","","N"
"AMARILLO ISD","CARVER ACADEMY EL","188901170","188901","EE - 05","E","188","16","POTTER","","N","A","NA","R","","N"
"AMARILLO ISD","CORONADO EL","188901104","188901","EE - 05","E","188","16","POTTER","","N","R","NA","RM","","N"
"AMARILLO ISD","CROCKETT MIDDLE","188901043","188901","06 - 08","M","188","16","POTTER","","N","E","NA","NQ","","N"
