DISTNAME,CAMPNAME,CACKDTL,CAMPUS,DISTRICT,COUNTY,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING
A+ ACADEMY,A+ ACADEMY,,057829001,057829,057,10,DALLAS,B,PK - 12,Y,,,A
ABBOTT ISD,ABBOTT SCHOOL,AUVJEWSX,109901001,109901,109,12,HILL,B,EE - 12,N,,,E
ABERNATHY ISD,ABERNATHY EL,N,095901101,095901,095,17,HALE,E,PK - 05,N,,,R
ABERNATHY ISD,ABERNATHY H S,AUVJZ,095901001,095901,095,17,HALE,S,09 - 12,N,,,R
ABERNATHY ISD,ABERNATHY J H,AWSX,095901041,095901,095,17,HALE,M,06 - 08,N,,,E
ABILENE ISD,ABILENE H S,U,221901001,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,ABILENE STATE SCH,,221901129,221901,221,14,TAYLOR,B,04 - 12,N,,,X
ABILENE ISD,ACADIA ABILENE BEHAVIORAL HEALTH,,221901142,221901,221,14,TAYLOR,S,07 - 11,N,,,X
ABILENE ISD,AUSTIN EL,EWMNX,221901102,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,BASSETTI EL,EMNY,221901153,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BONHAM EL,WMN,221901103,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BOWIE EL,EWMN,221901104,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,CLACK MIDDLE,ES,221901047,221901,221,14,TAYLOR,M,06 - 08,N,,,R
ABILENE ISD,COLLEGE HEIGHTS EL,N,221901106,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,COOPER H S,,221901002,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,CRAIG MIDDLE,EWS,221901048,221901,221,14,TAYLOR,M,06 - 08,N,,,R
ABILENE ISD,DAY NURSERY OF ABILENE,,221901208,221901,221,14,TAYLOR,E,PK - PK,N,,,X
ABILENE ISD,DYESS EL,EWMNY,221901108,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,FANNIN EL,AM,221901110,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,HARMONY FAMILY SERVICES,,221901200,221901,221,14,TAYLOR,B,03 - 09,N,,,X
ABILENE ISD,HOUSTON STUDENT ACH CTR,,221901124,221901,221,14,TAYLOR,B,KG - 10,N,,,X
ABILENE ISD,JACKSON EL,N,221901112,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,JOHNSTON EL,WN,221901113,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,JUVENILE DETENTION CENTER,AS,221901008,221901,221,14,TAYLOR,B,06 - 11,N,,,1
ABILENE ISD,LEE EL,,221901116,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,LOCUST ECC,,221901117,221901,221,14,TAYLOR,E,EE - PK,N,,,X
ABILENE ISD,LONG EL,N,221901118,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,MADISON MIDDLE,EWS,221901044,221901,221,14,TAYLOR,M,06 - 08,N,,,R
ABILENE ISD,MANN MIDDLE,S,221901045,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,ORTIZ EL,WM,221901152,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,REAGAN EL,,221901120,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,TAYLOR COUNTY LEARNING CENTER,,221901007,221901,221,14,TAYLOR,B,06 - 10,N,,,X
ABILENE ISD,TAYLOR EL,WN,221901121,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,THOMAS EL,NX,221901151,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,TRAVIS OPPORTUNITY CTR,,221901006,221901,221,14,TAYLOR,S,07 - 11,N,,,X
ABILENE ISD,WARD EL,EWMNX,221901150,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,WOODSON CENTER FOR EXCELLENCE,,221901003,221901,221,14,TAYLOR,S,09 - 12,N,,,1
ABILENE ISD,WOODSON ECC,,221901125,221901,221,14,TAYLOR,E,EE - PK,N,,,X
ACADEMY ISD,ACADEMY EL,W,014901101,014901,014,12,BELL,E,EE - 04,N,,,E
ACADEMY ISD,ACADEMY H S,UVJS,014901001,014901,014,12,BELL,S,09 - 12,N,,,R
ACADEMY ISD,ACADEMY J H,EWSZ,014901041,014901,014,12,BELL,M,05 - 08,N,,,R
ACADEMY ISD,ACADEMY JJAEP,,014901042,014901,014,12,BELL,M,07 - 07,N,,,X
ACADEMY OF ACCELERATED LEARNING IN,ACADEMY OF ACCELERATED LEARNING,,101810002,101810,101,04,HARRIS,E,PK - 05,Y,,,R
ACADEMY OF BEAUMONT,ACADEMY OF BEAUMONT,Y,123801101,123801,123,05,JEFFERSON,E,PK - 08,Y,,,A
ACADEMY OF CAREERS AND TECHNOLOGIE,ACADEMY OF CAREERS AND TECHNOLOGIE,,015816001,015816,015,20,BEXAR,S,09 - 12,Y,,,1
ACADEMY OF DALLAS,ACADEMY OF DALLAS,,057810101,057810,057,10,DALLAS,E,PK - 08,Y,,,L
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INT CHARTER SCHOOL,SY,101849041,101849,101,04,HARRIS,M,06 - 08,Y,,,A
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACAD,,101849101,101849,101,04,HARRIS,E,PK - 05,Y,,,A
ADRIAN ISD,ADRIAN SCHOOL,RVWS,180903001,180903,180,16,OLDHAM,B,PK - 12,N,,,E
AGUA DULCE ISD,AGUA DULCE ELEMENTARY SCHOOL,A,178901101,178901,178,02,NUECES,E,PK - 05,N,,,A
AGUA DULCE ISD,AGUA DULCE H S,DUVJ,178901001,178901,178,02,NUECES,B,06 - 12,N,,,A
ALAMO HEIGHTS ISD,ALAMO HEIGHTS H S,PVJS,015901001,015901,015,20,BEXAR,S,09 - 12,N,,,R
ALAMO HEIGHTS ISD,ALAMO HEIGHTS J H,EW,015901041,015901,015,20,BEXAR,M,06 - 08,N,,,A
ALAMO HEIGHTS ISD,BEXAR CO J J A E P,,015901002,015901,015,20,BEXAR,M,06 - 06,N,,,X
ALAMO HEIGHTS ISD,CAMBRIDGE EL,AWN,015901101,015901,015,20,BEXAR,E,01 - 05,N,,,R
ALAMO HEIGHTS ISD,HOWARD EL,,015901102,015901,015,20,BEXAR,E,EE - KG,N,,,X
ALAMO HEIGHTS ISD,WOODRIDGE EL,EWN,015901104,015901,015,20,BEXAR,E,01 - 05,N,,,R
ALBA-GOLDEN ISD,ALBA-GOLDEN EL,M,250906101,250906,250,07,WOOD,E,PK - 05,N,,,E
ALBA-GOLDEN ISD,ALBA-GOLDEN H S,JWS,250906001,250906,250,07,WOOD,B,06 - 12,N,,,R
ALBA-GOLDEN ISD,ALTER SCHOOL,,250906002,250906,250,07,WOOD,S,07 - 12,N,,,1
ALBANY ISD,ALBANY JR-SR H S,RUVEWY,209901001,209901,209,14,SHACKELFORD,S,07 - 12,N,,,R
ALBANY ISD,NANCY SMITH EL,EWMN,209901101,209901,209,14,SHACKELFORD,E,PK - 06,N,,,E
ALDINE ISD,ALDINE H S,SX,101902001,101902,101,04,HARRIS,S,09 - 12,N,,,A
ALDINE ISD,ALDINE J J A E P,,101902099,101902,101,04,HARRIS,B,06 - 11,N,,,X
ALDINE ISD,ALDINE MIDDLE,ESX,101902041,101902,101,04,HARRIS,M,07 - 08,N,,,R
ALDINE ISD,ALDINE NINTH GRADE SCHOOL,Y,101902081,101902,101,04,HARRIS,S,09 - 09,N,,,E
ALDINE ISD,ANDERSON ACADEMY,EM,101902101,101902,101,04,HARRIS,E,01 - 03,N,,,E
ALDINE ISD,BETHUNE ACADEMY,A,101902102,101902,101,04,HARRIS,E,03 - 04,N,,,E
ALDINE ISD,BLACK EL,AWMY,101902126,101902,101,04,HARRIS,E,KG - 04,N,,,E
ALDINE ISD,BUSSEY ELEMENTARY,AEMY,101902131,101902,101,04,HARRIS,E,KG - 04,N,,,E
ALDINE ISD,CALVERT EL,Z,101902128,101902,101,04,HARRIS,E,KG - 04,N,,,R
ALDINE ISD,CARAWAY INT,Y,101902066,101902,101,04,HARRIS,M,05 - 06,N,,,R
ALDINE ISD,CARMICHAEL EL,AX,101902122,101902,101,04,HARRIS,E,KG - 04,N,,,E
