"A W BROWN-FELLOWSHIP CHARTER SCHOO","A W BROWN-FELLOWSHIP CHARTER SCHOO","057816101","057816","057","10","DALLAS","EE - 03","E","A","NA","NQ","057905277","THOMAS TOLBERT","N","Y"
"ABBOTT ISD","ABBOTT SCHOOL","109901001","109901","109","12","HILL","PK - 12","B","R","T","NQ"," "," ","N","N"
"ABERNATHY ISD","ABERNATHY EL","095901101","095901","095","17","HALE","EE - 05","E","R","NA","NQ"," "," ","N","N"
"ABERNATHY ISD","ABERNATHY H S","095901001","095901","095","17","HALE","09 - 12","S","R","NQ","NQ"," "," ","N","N"
"ABERNATHY ISD","ABERNATHY J H","095901041","095901","095","17","HALE","06 - 08","M","R","NA","NQ"," "," ","N","N"
"ABILENE ISD","ABILENE H S","221901001","221901","221","14","TAYLOR","09 - 12","S","A","NQ","NQ"," "," ","N","N"
"ABILENE ISD","ABILENE STATE SCH","221901129","221901","221","14","TAYLOR","09 - 12","S","X","NO"," "," "," ","N","N"
"ABILENE ISD","ALTA VISTA EL","221901101","221901","221","14","TAYLOR","EE - 05","E","R","NA","R"," "," ","N","N"
"ABILENE ISD","AUSTIN EL","221901102","221901","221","14","TAYLOR","EE - 05","E","E","NA","R"," "," ","N","N"
"ABILENE ISD","BASSETTI EL","221901153","221901","221","14","TAYLOR","KG - 05","E","E","NA","NQ"," "," ","N","N"
"ABILENE ISD","BONHAM EL","221901103","221901","221","14","TAYLOR","KG - 05","E","E","NA","M"," "," ","N","N"
"ABILENE ISD","BOWIE EL","221901104","221901","221","14","TAYLOR","KG - 05","E","R","NA","R"," "," ","N","N"
"ABILENE ISD","CLACK MIDDLE","221901047","221901","221","14","TAYLOR","06 - 08","M","A","NA","M"," "," ","N","N"
"ABILENE ISD","COLLEGE HEIGHTS EL","221901106","221901","221","14","TAYLOR","KG - 05","E","A","NA","NQ"," "," ","N","N"
"ABILENE ISD","COOPER H S","221901002","221901","221","14","TAYLOR","09 - 12","S","A","NQ","NQ"," "," ","N","N"
"ABILENE ISD","CROCKETT EL","221901107","221901","221","14","TAYLOR","KG - 05","E","E","NA","NQ"," "," ","N","N"
"ABILENE ISD","DYESS EL","221901108","221901","221","14","TAYLOR","KG - 05","E","E","NA","NQ"," "," ","N","N"
"ABILENE ISD","EXCEL ALTER H S","221901003","221901","221","14","TAYLOR","09 - 12","S","1","PE"," "," "," ","N","N"
"ABILENE ISD","FANNIN EL","221901110","221901","221","14","TAYLOR","KG - 05","E","A","NA","NQ"," "," ","N","N"
"ABILENE ISD","FRANKLIN MIDDLE","221901041","221901","221","14","TAYLOR","06 - 08","M","A","NA","NQ"," "," ","N","N"
"ABILENE ISD","HARMONY FAMILY SERVICES","221901200","221901","221","14","TAYLOR","05 - 11","B","X","NO"," "," "," ","N","N"
"ABILENE ISD","HOUSTON STUDENT ACH CTR","221901124","221901","221","14","TAYLOR","02 - 12","B","X","NO"," "," "," ","N","N"
"ABILENE ISD","JACKSON EL","221901112","221901","221","14","TAYLOR","EE - 05","E","E","NA","M"," "," ","N","N"
"ABILENE ISD","JEFFERSON MIDDLE","221901042","221901","221","14","TAYLOR","06 - 08","M","A","NA","NQ"," "," ","N","N"
"ABILENE ISD","JOHNSTON EL","221901113","221901","221","14","TAYLOR","EE - 05","E","E","NA","NQ"," "," ","N","N"
"ABILENE ISD","JONES EL","221901114","221901","221","14","TAYLOR","KG - 05","E","E","NA","R"," "," ","N","N"
"ABILENE ISD","LEE EL","221901116","221901","221","14","TAYLOR","KG - 05","E","A","NA","R"," "," ","N","N"
"ABILENE ISD","LINCOLN MIDDLE","221901043","221901","221","14","TAYLOR","06 - 08","M","R","NA","NQ"," "," ","N","N"
"ABILENE ISD","LOCUST ECC","221901117","221901","221","14","TAYLOR","EE - PK","E","N","NR"," "," "," ","N","N"
"ABILENE ISD","LONG EL","221901118","221901","221","14","TAYLOR","KG - 05","E","R","NA","R"," "," ","N","N"
"ABILENE ISD","MADISON MIDDLE","221901044","221901","221","14","TAYLOR","06 - 08","M","A","NA","NQ"," "," ","N","N"
"ABILENE ISD","MANN MIDDLE","221901045","221901","221","14","TAYLOR","06 - 08","M","A","NA","NQ"," "," ","N","N"
"ABILENE ISD","ORTIZ EL","221901152","221901","221","14","TAYLOR","EE - 05","E","E","NA","NQ"," "," ","N","N"
"ABILENE ISD","REAGAN EL","221901120","221901","221","14","TAYLOR","KG - 05","E","A","NA","NQ"," "," ","N","N"
"ABILENE ISD","SCHOOL AGE MOTHERS","221901122","221901","221","14","TAYLOR","07 - 08","M","X","NO"," "," "," ","N","N"
"ABILENE ISD","SP ED HOMEBOUND","221901127","221901","221","14","TAYLOR","05 - 12","B","X","NO"," "," "," ","N","N"
