DISTNAME,CAMPNAME,CACKDTL,CAMPUS,DISTRICT,COUNTY,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING
A+ ACADEMY,A+ ACADEMY,R,057829001,057829,057,10,DALLAS,B,PK - 12,Y,,,A
ABBOTT ISD,ABBOTT SCHOOL,UVEWS,109901001,109901,109,12,HILL,B,PK - 12,N,,,R
ABERNATHY ISD,ABERNATHY DAEP,,095901003,095901,095,17,HALE,S,09 - 09,N,,,X
ABERNATHY ISD,ABERNATHY EL,N,095901101,095901,095,17,HALE,E,PK - 05,N,,,R
ABERNATHY ISD,ABERNATHY H S,ARUVZ,095901001,095901,095,17,HALE,S,09 - 12,N,,,A
ABERNATHY ISD,ABERNATHY J H,AW,095901041,095901,095,17,HALE,M,06 - 08,N,,,A
ABILENE ISD,ABILENE H S,,221901001,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,ABILENE PSYCHIATRIC INSTITUTE,,221901142,221901,221,14,TAYLOR,S,07 - 12,N,,,X
ABILENE ISD,ABILENE STATE SCH,,221901129,221901,221,14,TAYLOR,S,07 - 12,N,,,X
ABILENE ISD,AUSTIN EL,EWMN,221901102,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BASSETTI EL,EWMN,221901153,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BONHAM EL,WM,221901103,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BOWIE EL,N,221901104,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,CLACK MIDDLE,EWSX,221901047,221901,221,14,TAYLOR,M,06 - 08,N,,,R
ABILENE ISD,COLLEGE HEIGHTS EL,N,221901106,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,COOPER H S,,221901002,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,DAY NURSERY OF ABILENE,,221901208,221901,221,14,TAYLOR,E,PK - PK,N,,,X
ABILENE ISD,DYESS EL,EWMN,221901108,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,FANNIN EL,M,221901110,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,FRANKLIN MIDDLE,S,221901041,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,HARMONY FAMILY SERVICES,,221901200,221901,221,14,TAYLOR,B,06 - 12,N,,,X
ABILENE ISD,HOUSTON STUDENT ACH CTR,,221901124,221901,221,14,TAYLOR,B,01 - 10,N,,,X
ABILENE ISD,JACKSON EL,WN,221901112,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,JOHNSTON EL,EWM,221901113,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,JUVENILE DETENTION CENTER,,221901008,221901,221,14,TAYLOR,B,06 - 11,N,,,1
ABILENE ISD,LEE EL,,221901116,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,LINCOLN MIDDLE,E,221901043,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,LOCUST ECC,,221901117,221901,221,14,TAYLOR,E,EE - PK,N,,,X
ABILENE ISD,LONG EL,M,221901118,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,MADISON MIDDLE,EWS,221901044,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,MANN MIDDLE,ES,221901045,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,ORTIZ EL,WMN,221901152,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,REAGAN EL,W,221901120,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,SP ED HOMEBOUND,,221901127,221901,221,14,TAYLOR,B,02 - 11,N,,,X
ABILENE ISD,SP ED O J T,,221901128,221901,221,14,TAYLOR,E,EE - EE,N,,,X
ABILENE ISD,TAYLOR COUNTY LEARNING CENTER,,221901007,221901,221,14,TAYLOR,B,06 - 10,N,,,X
ABILENE ISD,TAYLOR EL,EWMN,221901121,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,THOMAS EL,N,221901151,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,TRAVIS OPPORTUNITY CTR,,221901006,221901,221,14,TAYLOR,S,07 - 11,N,,,X
ABILENE ISD,WARD EL,EWMN,221901150,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,WOODSON CENTER FOR EXCELLENCE,,221901003,221901,221,14,TAYLOR,S,09 - 12,N,,,1
ABILENE ISD,WOODSON ECC,,221901125,221901,221,14,TAYLOR,E,EE - PK,N,,,X
ACADEMY ISD,ACADEMY EL,MX,014901101,014901,014,12,BELL,E,PK - 04,N,,,R
ACADEMY ISD,ACADEMY H S,UVS,014901001,014901,014,12,BELL,S,09 - 12,N,,,A
ACADEMY ISD,ACADEMY J H,EWMNSZ,014901041,014901,014,12,BELL,M,05 - 08,N,,,R
ACADEMY OF ACCELERATED LEARNING IN,ACADEMY OF ACCELERATED LEARNING,,101810002,101810,101,04,HARRIS,E,PK - 05,Y,,,A
ACADEMY OF BEAUMONT,ACADEMY OF BEAUMONT,,123801101,123801,123,05,JEFFERSON,E,PK - 08,Y,,,L
ACADEMY OF CAREERS AND TECHNOLOGIE,ACADEMY OF CAREERS AND TECHNOLOGI,,015816001,015816,015,20,BEXAR,S,09 - 12,Y,,,1
ACADEMY OF DALLAS,ACADEMY OF DALLAS,,057810101,057810,057,10,DALLAS,E,PK - 08,Y,,,L
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACA,,101849101,101849,101,04,HARRIS,E,PK - 05,Y,,,A
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACA,A,101849102,101849,101,04,HARRIS,E,PK - 05,Y,,,A
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERMEDIATE ACADEMY,,101849042,101849,101,04,HARRIS,M,06 - 06,Y,,,X
ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERMEDIATE CHARTER,S,101849041,101849,101,04,HARRIS,M,06 - 08,Y,,,R
ADRIAN ISD,ADRIAN SCHOOL,REW,180903001,180903,180,16,OLDHAM,B,PK - 12,N,,,A
AGUA DULCE ISD,AGUA DULCE ELEMENTARY SCHOOL,Y,178901101,178901,178,02,NUECES,E,PK - 05,N,,,A
AGUA DULCE ISD,AGUA DULCE H S,RV,178901001,178901,178,02,NUECES,B,06 - 12,N,,,A
ALAMO HEIGHTS ISD,ALAMO HEIGHTS H S,PUVSZ,015901001,015901,015,20,BEXAR,S,09 - 12,N,,,A
ALAMO HEIGHTS ISD,ALAMO HEIGHTS J H,ESY,015901041,015901,015,20,BEXAR,M,06 - 08,N,,,A
ALAMO HEIGHTS ISD,BEXAR CO J J A E P,,015901002,015901,015,20,BEXAR,S,09 - 09,N,,,X
