"A W BROWN-FELLOWSHIP CHARTER SCHOO","A W BROWN-FELLOWSHIP CHARTER SCHOO","057816101","057816","057","10","DALLAS","E","PK - 04","E"," ","NQ","Y"," "," "
"A+ ACADEMY","A+ ACADEMY","057829001","057829","057","10","DALLAS","E","PK - 06","H"," "," ","Y"," "," "
"ABBOTT ISD","ABBOTT SCHOOL","109901001","109901","109","12","HILL","B","KG - 12","R","A","RM","N"," "," "
"ABERNATHY ISD","ABERNATHY EL","095901101","095901","095","17","HALE","E","PK - 05","R"," ","NQ","N"," "," "
"ABERNATHY ISD","ABERNATHY H S","095901001","095901","095","17","HALE","S","09 - 12","E","A","NQ","N"," "," "
"ABERNATHY ISD","ABERNATHY J H","095901041","095901","095","17","HALE","M","06 - 08","R","A","NQ","N"," "," "
"ABILENE ISD","ABILENE H S","221901001","221901","221","14","TAYLOR","S","09 - 12","R"," ","NQ","N"," "," "
"ABILENE ISD","ABILENE STATE SCH","221901129","221901","221","14","TAYLOR","S","07 - 12","X"," "," ","N"," "," "
"ABILENE ISD","ALTA VISTA EL","221901101","221901","221","14","TAYLOR","E","KG - 05","E"," ","NQ","N"," "," "
"ABILENE ISD","AUSTIN EL","221901102","221901","221","14","TAYLOR","E","KG - 05","E"," ","NQ","N"," "," "
"ABILENE ISD","BASSETTI EL","221901153","221901","221","14","TAYLOR","E","KG - 05","E"," ","NQ","N"," "," "
"ABILENE ISD","BONHAM EL","221901103","221901","221","14","TAYLOR","E","KG - 05","E"," ","NQ","N"," "," "
"ABILENE ISD","BOWIE EL","221901104","221901","221","14","TAYLOR","E","KG - 05","R"," ","NQ","N"," "," "
"ABILENE ISD","CLACK MIDDLE","221901047","221901","221","14","TAYLOR","M","06 - 08","E"," ","RM","N"," "," "
"ABILENE ISD","COLLEGE HEIGHTS EL","221901106","221901","221","14","TAYLOR","E","KG - 05","A"," ","NQ","N"," "," "
"ABILENE ISD","COOPER H S","221901002","221901","221","14","TAYLOR","S","09 - 12","R"," ","NQ","N"," "," "
"ABILENE ISD","CROCKETT EL","221901107","221901","221","14","TAYLOR","E","KG - 05","R"," ","NQ","N"," "," "
"ABILENE ISD","DYESS EL","221901108","221901","221","14","TAYLOR","E","KG - 05","E"," ","NQ","N"," "," "
"ABILENE ISD","EXCEL ALTER H S","221901003","221901","221","14","TAYLOR","S","09 - 12","1"," "," ","N"," "," "
"ABILENE ISD","FANNIN EL","221901110","221901","221","14","TAYLOR","E","KG - 05","R"," ","NQ","N"," "," "
"ABILENE ISD","FRANKLIN MIDDLE","221901041","221901","221","14","TAYLOR","M","06 - 08","R"," ","R","N"," "," "
"ABILENE ISD","HARMONY FAMILY SERVICES","221901200","221901","221","14","TAYLOR","B","06 - 10","X"," "," ","N"," "," "
"ABILENE ISD","HOUSTON STUDENT ACH CTR","221901124","221901","221","14","TAYLOR","B","KG - 12","X"," "," ","N"," "," "
"ABILENE ISD","JACKSON EL","221901112","221901","221","14","TAYLOR","E","EE - 05","E"," ","NQ","N"," "," "
"ABILENE ISD","JEFFERSON MIDDLE","221901042","221901","221","14","TAYLOR","M","06 - 08","R"," ","NQ","N"," "," "
"ABILENE ISD","JOHNSTON EL","221901113","221901","221","14","TAYLOR","E","EE - 05","E","A","R","N"," "," "
"ABILENE ISD","JONES EL","221901114","221901","221","14","TAYLOR","E","KG - 05","R","A","NQ","N"," "," "
"ABILENE ISD","LEE EL","221901116","221901","221","14","TAYLOR","E","KG - 05","A"," ","NQ","N"," "," "
"ABILENE ISD","LINCOLN MIDDLE","221901043","221901","221","14","TAYLOR","M","06 - 08","E"," ","NQ","N"," "," "
"ABILENE ISD","LOCUST ECC","221901117","221901","221","14","TAYLOR","E","EE - PK","N"," "," ","N"," "," "
"ABILENE ISD","LONG EL","221901118","221901","221","14","TAYLOR","E","KG - 05","R","A","NQ","N"," "," "
"ABILENE ISD","MADISON MIDDLE","221901044","221901","221","14","TAYLOR","M","06 - 08","R"," ","R","N"," "," "
"ABILENE ISD","MANN MIDDLE","221901045","221901","221","14","TAYLOR","M","06 - 08","A"," ","RM","N"," "," "
"ABILENE ISD","ORTIZ EL","221901152","221901","221","14","TAYLOR","E","EE - 05","A"," ","NQ","N"," "," "
"ABILENE ISD","REAGAN EL","221901120","221901","221","14","TAYLOR","E","KG - 05","R"," ","R","N"," "," "
"ABILENE ISD","SCHOOL AGE MOTHERS","221901122","221901","221","14","TAYLOR","M","08 - 08","X"," "," ","N"," "," "
"ABILENE ISD","SP ED HOMEBOUND","221901127","221901","221","14","TAYLOR","B","01 - 12","X"," "," ","N"," "," "
"ABILENE ISD","SP ED O J T","221901128","221901","221","14","TAYLOR","S","10 - 12","X"," "," ","N"," "," "
"ABILENE ISD","TAYLOR EL","221901121","221901","221","14","TAYLOR","E","KG - 05","E"," ","R","N"," "," "
"ABILENE ISD","THOMAS EL","221901151","221901","221","14","TAYLOR","E","KG - 05","R"," ","NQ","N"," "," "
"ABILENE ISD","TRAVIS OPPORTUNITY CTR","221901006","221901","221","14","TAYLOR","B","06 - 11","X"," "," ","N"," "," "
"ABILENE ISD","VALLEY VIEW EL","221901123","221901","221","14","TAYLOR","E","KG - 05","E"," ","NQ","N"," "," "
"ABILENE ISD","WARD EL","221901150","221901","221","14","TAYLOR","E","KG - 05","E","A","NQ","N"," "," "
"ABILENE ISD","WOODSON ECC","221901125","221901","221","14","TAYLOR","E","EE - PK","N"," "," ","N"," "," "
"ABILENE ISD","WOODSON PROJECT PASS","221901046","221901","221","14","TAYLOR","M","06 - 08","1"," "," ","N"," "," "
"ACADEMY ISD","ACADEMY EL","014901101","014901","014","12","BELL","E","KG - 04","E"," ","NQ","N"," "," "
"ACADEMY ISD","ACADEMY H S","014901001","014901","014","12","BELL","S","09 - 12","R"," ","NQ","N"," "," "
