DISTNAME,CAMPNAME,CACKDTL,CAMPUS,DISTRICT,COUNTY,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING
A+ ACADEMY,A+ ACADEMY,V,057829001,057829,057,10,DALLAS,B,PK - 12,Y,,,A
ABBOTT ISD,ABBOTT SCHOOL,AUVES,109901001,109901,109,12,HILL,B,PK - 12,N,,,R
ABERNATHY ISD,ABERNATHY DAEP,,095901003,095901,095,17,HALE,M,08 - 08,N,,,X
ABERNATHY ISD,ABERNATHY EL,WN,095901101,095901,095,17,HALE,E,PK - 05,N,,,R
ABERNATHY ISD,ABERNATHY H S,UV,095901001,095901,095,17,HALE,S,09 - 12,N,,,A
ABERNATHY ISD,ABERNATHY J H,AWX,095901041,095901,095,17,HALE,M,06 - 08,N,,,R
ABILENE ISD,ABILENE H S,PX,221901001,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,ABILENE PSYCHIATRIC INSTITUTE,,221901142,221901,221,14,TAYLOR,S,08 - 12,N,,,X
ABILENE ISD,ABILENE STATE SCH,,221901129,221901,221,14,TAYLOR,B,03 - 12,N,,,X
ABILENE ISD,AUSTIN EL,AEWMN,221901102,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,BASSETTI EL,EWMN,221901153,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BONHAM EL,EWM,221901103,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,BOWIE EL,EN,221901104,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,BYRON CRAIG MIDDLE,SZ,221901048,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,CLACK MIDDLE,EWS,221901047,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,COLLEGE HEIGHTS EL,MN,221901106,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,COOPER H S,,221901002,221901,221,14,TAYLOR,S,09 - 12,N,,,A
ABILENE ISD,DAY NURSERY OF ABILENE,,221901208,221901,221,14,TAYLOR,E,PK - PK,N,,,X
ABILENE ISD,DYESS EL,EWMNY,221901108,221901,221,14,TAYLOR,E,KG - 05,N,,,E
ABILENE ISD,FANNIN EL,AEMN,221901110,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,HARMONY FAMILY SERVICES,,221901200,221901,221,14,TAYLOR,B,03 - 11,N,,,X
ABILENE ISD,HOUSTON STUDENT ACH CTR,,221901124,221901,221,14,TAYLOR,B,KG - 09,N,,,X
ABILENE ISD,JACKSON EL,EMN,221901112,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,JOHNSTON EL,N,221901113,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,JUVENILE DETENTION CENTER,A,221901008,221901,221,14,TAYLOR,B,06 - 11,N,,,1
ABILENE ISD,LEE EL,,221901116,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,LOCUST ECC,,221901117,221901,221,14,TAYLOR,E,EE - PK,N,,,X
ABILENE ISD,LONG EL,EWMN,221901118,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,MADISON MIDDLE,EWS,221901044,221901,221,14,TAYLOR,M,06 - 08,N,,,R
ABILENE ISD,MANN MIDDLE,EWS,221901045,221901,221,14,TAYLOR,M,06 - 08,N,,,A
ABILENE ISD,ORTIZ EL,W,221901152,221901,221,14,TAYLOR,E,KG - 05,N,,,R
ABILENE ISD,REAGAN EL,,221901120,221901,221,14,TAYLOR,E,KG - 05,N,,,A
ABILENE ISD,TAYLOR COUNTY LEARNING CENTER,,221901007,221901,221,14,TAYLOR,B,06 - 11,N,,,X
