"CAYUGA ISD","CAYUGA EL","EWMN","001902103","001902","001","07","ANDERSON","E","EE - 05","N"," "," ","R"
"CAYUGA ISD","CAYUGA H S","ATRESZ","001902001","001902","001","07","ANDERSON","S","09 - 12","N"," "," ","A"
"CAYUGA ISD","CAYUGA MIDDLE","EWMSX","001902041","001902","001","07","ANDERSON","M","06 - 08","N"," "," ","R"
"CEDAR CREST SCHOOL","CEDAR CREST CHARTER SCHOOL"," ","014804001","014804","014","12","BELL","B","KG - 12","Y"," "," ","1"
"CEDAR HILL ISD","BELT LINE INTERMEDIATE","A","057904106","057904","057","10","DALLAS","M","05 - 06","N"," "," ","A"
"CEDAR HILL ISD","BRAY ELEMENTARY","EWM","057904101","057904","057","10","DALLAS","E","PK - 04","N"," "," ","E"
"CEDAR HILL ISD","CEDAR HILL HIGH SCHOOL","R","057904001","057904","057","10","DALLAS","S","09 - 12","N"," "," ","A"
"CEDAR HILL ISD","HIGH POINTE ELEMENTARY","A","057904104","057904","057","10","DALLAS","E","KG - 04","N"," "," ","A"
"CEDAR HILL ISD","HIGHLANDS ELEMENTARY"," ","057904105","057904","057","10","DALLAS","E","PK - 04","N"," "," ","A"
"CEDAR HILL ISD","JJAEP"," ","057904007","057904","057","10","DALLAS","S","08 - 11","N"," "," ","X"
"CEDAR HILL ISD","JOE WILSON INTERMEDIATE"," ","057904109","057904","057","10","DALLAS","M","05 - 08","N"," "," ","A"
"CEDAR HILL ISD","LAKERIDGE ELEMENTARY","EWMX","057904108","057904","057","10","DALLAS","E","PK - 05","N"," "," ","R"
"CEDAR HILL ISD","PLUMMER ELEMENTARY"," ","057904102","057904","057","10","DALLAS","E","EE - 04","N"," "," ","A"
"CEDAR HILL ISD","W S PERMENTER MIDDLE SCHOOL"," ","057904041","057904","057","10","DALLAS","M","06 - 08","N"," "," ","A"
"CEDAR HILL ISD","WATERFORD OAKS ELEMENTARY","EWY","057904107","057904","057","10","DALLAS","E","KG - 04","N"," "," ","R"
"CEDAR HILL ISD","WEST INTERMEDIATE","A","057904103","057904","057","10","DALLAS","M","05 - 06","N"," "," ","A"
"CEDAR RIDGE CHARTER SCHOOL","CEDAR RIDGE CHARTER SCHOOL"," ","141801001","141801","141","12","LAMPASAS","B","PK - 12","Y"," "," ","1"
"CEDARS INTERNATIONAL ACADEMY","CEDARS INTERNATIONAL ACADEMY","EY","227817101","227817","227","13","TRAVIS","E","KG - 07","Y"," "," ","A"
"CELESTE ISD","CELESTE ELEMENTARY","AEWMN","116902101","116902","116","10","HUNT","E","PK - 05","N"," "," ","R"
"CELESTE ISD","CELESTE HIGH SCHOOL","ATRES","116902001","116902","116","10","HUNT","S","09 - 12","N"," "," ","R"
"CELESTE ISD","CELESTE JUNIOR HIGH","EWMZ","116902041","116902","116","10","HUNT","M","06 - 08","N"," "," ","R"
"CELINA ISD","CELINA EL","EM","043903101","043903","043","10","COLLIN","E","PK - 03","N"," "," ","E"
"CELINA ISD","CELINA H S","ATRSZ","043903001","043903","043","10","COLLIN","S","09 - 12","N"," "," ","A"
"CELINA ISD","CELINA INTERMEDIATE","AWNX","043903042","043903","043","10","COLLIN","E","04 - 06","N"," "," ","R"
"CELINA ISD","CELINA JUNIOR HIGH","AWSX","043903041","043903","043","10","COLLIN","M","07 - 08","N"," "," ","A"
"CELINA ISD","COLLIN CO J J A E P"," ","043903002","043903","043","10","COLLIN","S","10 - 10","N"," "," ","X"
"CENTER ISD","CENTER EL"," ","210901101","210901","210","07","SHELBY","E","02 - 03","N"," "," ","R"
"CENTER ISD","CENTER H S"," ","210901001","210901","210","07","SHELBY","S","09 - 12","N"," "," ","A"
"CENTER ISD","CENTER INTERMEDIATE"," ","210901102","210901","210","07","SHELBY","E","04 - 05","N"," "," ","A"
"CENTER ISD","CENTER MIDDLE SCHOOL","Z","210901041","210901","210","07","SHELBY","M","06 - 08","N"," "," ","A"
"CENTER ISD","F L MOFFETT PRI"," ","210901104","210901","210","07","SHELBY","E","EE - 01","N","210901101","CENTER EL","R"
"CENTER POINT ISD","CENTER POINT EL","AEWMN","133901101","133901","133","20","KERR","E","PK - 05","N"," "," ","A"
"CENTER POINT ISD","CENTER POINT H S","TRSX","133901001","133901","133","20","KERR","S","09 - 12","N"," "," ","A"
"CENTER POINT ISD","CENTER POINT MIDDLE","AEWS","133901041","133901","133","20","KERR","M","06 - 08","N"," "," ","A"
"CENTERVILLE ISD","CENTERVILLE EL","WMN","145902101","145902","145","06","LEON","E","KG - 06","N"," "," ","R"
"CENTERVILLE ISD","CENTERVILLE ELEMENTARY","AN","228904101","228904","228","06","TRINITY","E","PK - 06","N"," "," ","A"
"CENTERVILLE ISD","CENTERVILLE H S","EWS","228904001","228904","228","06","TRINITY","S","07 - 12","N"," "," ","R"
"CENTERVILLE ISD","CENTERVILLE JR-SR H S","AREWZ","145902001","145902","145","06","LEON","S","07 - 12","N"," "," ","A"
"CENTRAL HEIGHTS ISD","CENTRAL HEIGHTS EL","EMN","174908101","174908","174","07","NACOGDOCHES","E","PK - 06","N"," "," ","R"
"CENTRAL HEIGHTS ISD","CENTRAL HEIGHTS H S","ATWS","174908001","174908","174","07","NACOGDOCHES","S","07 - 12","N"," "," ","A"
"CENTRAL ISD","CENTRAL EL","EWMN","003907102","003907","003","07","ANGELINA","E","03 - 05","N"," "," ","A"
"CENTRAL ISD","CENTRAL H S"," ","003907001","003907","003","07","ANGELINA","S","09 - 12","N"," "," ","A"
"CENTRAL ISD","CENTRAL J H","AMS","003907041","003907","003","07","ANGELINA","M","06 - 08","N"," "," ","R"
"CENTRAL ISD","CENTRAL PRI"," ","003907101","003907","003","07","ANGELINA","E","EE - 02","N","003907102","CENTRAL EL","A"
"CENTRAL ISD","STUBBLEFIELD LRN CTR"," ","003907004","003907","003","07","ANGELINA","S","10 - 12","N"," "," ","1"
"CHANNELVIEW ISD","ALICE JOHNSON J H"," ","101905041","101905","101","04","HARRIS","M","06 - 08","N"," "," ","A"
"CHANNELVIEW ISD","APOLLO"," ","101905006","101905","101","04","HARRIS","B","04 - 12","N"," "," ","X"
"CHANNELVIEW ISD","B H HAMBLEN MIDDLE"," ","101905042","101905","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"CHANNELVIEW ISD","CHANNELVIEW HIGH SCHOOL","X","101905001","101905","101","04","HARRIS","S","09 - 12","N"," "," ","A"
"CHANNELVIEW ISD","CRENSHAW PRIMARY"," ","101905105","101905","101","04","HARRIS","E","KG - 02","N","101905102","DE ZAVALA ELEMENTARY","A"
"CHANNELVIEW ISD","DE ZAVALA ELEMENTARY"," ","101905102","101905","101","04","HARRIS","E","03 - 04","N"," "," ","A"
"CHANNELVIEW ISD","ENDEAVOR SCHOOL"," ","101905005","101905","101","04","HARRIS","B","EE - 12","N"," "," ","1"
"CHANNELVIEW ISD","JJAEP DISCIPLINARY SCHOOL"," ","101905007","101905","101","04","HARRIS","B","05 - 11","N"," "," ","X"
"CHANNELVIEW ISD","MCMULLAN PRIMARY"," ","101905104","101905","101","04","HARRIS","E","KG - 02","N","101905101","VIOLA COBB ELEMENTARY","R"
"CHANNELVIEW ISD","SCHOCHLER PRIMARY"," ","101905103","101905","101","04","HARRIS","E","KG - 02","N","101905101","VIOLA COBB ELEMENTARY","R"
"CHANNELVIEW ISD","VIOLA COBB ELEMENTARY","EY","101905101","101905","101","04","HARRIS","E","03 - 04","N"," "," ","R"
"CHANNING ISD","CHANNING SCHOOL","AESY","103901001","103901","103","16","HARTLEY","B","KG - 12","N"," "," ","R"
"CHAPEL HILL ISD","CHAPEL HILL EL"," ","225906101","225906","225","08","TITUS","E","KG - 06","N"," "," ","A"
"CHAPEL HILL ISD","CHAPEL HILL H S","A","212909001","212909","212","07","SMITH","S","09 - 12","N"," "," ","A"
"CHAPEL HILL ISD","CHAPEL HILL H S","TRS","225906001","225906","225","08","TITUS","S","09 - 12","N"," "," ","A"
"CHAPEL HILL ISD","CHAPEL HILL J H"," ","225906041","225906","225","08","TITUS","M","07 - 08","N"," "," ","L"
"CHAPEL HILL ISD","CHAPEL HILL MIDDLE","EZ","212909042","212909","212","07","SMITH","M","06 - 08","N"," "," ","A"
"CHAPEL HILL ISD","JACKSON EL"," ","212909102","212909","212","07","SMITH","E","EE - 02","N","212909103","W L KISSAM INT","A"
"CHAPEL HILL ISD","SMITH CO J J A E P"," ","212909005","212909","212","07","SMITH","S","09 - 10","N"," "," ","X"
"CHAPEL HILL ISD","W L KISSAM INT","A","212909103","212909","212","07","SMITH","E","03 - 05","N"," "," ","A"
"CHAPEL HILL ISD","WINGS"," ","212909002","212909","212","07","SMITH","S","11 - 12","N"," "," ","1"
"CHAPEL HILL ISD","WISE EL"," ","212909101","212909","212","07","SMITH","E","EE - 02","N","212909103","W L KISSAM INT","A"
"CHARLOTTE ISD","ATASCOSA CO ALTER"," ","007901002","007901","007","20","ATASCOSA","M","07 - 07","N"," "," ","X"
"CHARLOTTE ISD","BIG FOOT ALT ED"," ","007901003","007901","007","20","ATASCOSA","M","08 - 08","N"," "," ","X"
"CHARLOTTE ISD","CHARLOTTE EL"," ","007901101","007901","007","20","ATASCOSA","E","PK - 05","N"," "," ","A"
"CHARLOTTE ISD","CHARLOTTE H S"," ","007901001","007901","007","20","ATASCOSA","S","09 - 12","N"," "," ","A"
"CHARLOTTE ISD","CHARLOTTE J H","W","007901041","007901","007","20","ATASCOSA","M","06 - 08","N"," "," ","A"
"CHEROKEE ISD","CHEROKEE ELEMENTARY","EMNY","206903101","206903","206","15","SAN SABA","E","KG - 06","N"," "," ","R"
"CHEROKEE ISD","CHEROKEE H S","ATEWSY","206903001","206903","206","15","SAN SABA","S","07 - 12","N"," "," ","A"
"CHESTER ISD","CHESTER EL","N","229906101","229906","229","05","TYLER","E","KG - 05","N"," "," ","R"
"CHESTER ISD","CHESTER H S","TR","229906001","229906","229","05","TYLER","B","06 - 12","N"," "," ","A"
"CHICO ISD","CHICO ELEM","E","249904101","249904","249","11","WISE","E","PK - 05","N"," "," ","A"
"CHICO ISD","CHICO HIGH SCHOOL","TRS","249904001","249904","249","11","WISE","S","09 - 12","N"," "," ","A"
"CHICO ISD","CHICO MIDDLE","ESY","249904041","249904","249","11","WISE","M","06 - 08","N"," "," ","A"
"CHILDREN FIRST ACADEMY OF DALLAS","CHILDREN FIRST OF DALLAS","X","057811101","057811","057","10","DALLAS","E","PK - 07","Y"," "," ","A"
"CHILDREN FIRST ACADEMY OF HOUSTON","CHILDREN FIRST ACADEMY OF HOUSTON","A","101823101","101823","101","04","HARRIS","E","PK - 07","Y"," "," ","A"
"CHILDRESS ISD","CHILDRESS EL","WN","038901102","038901","038","16","CHILDRESS","E","EE - 05","N"," "," ","R"
"CHILDRESS ISD","CHILDRESS H S","R","038901001","038901","038","16","CHILDRESS","S","09 - 12","N"," "," ","A"
"CHILDRESS ISD","CHILDRESS J H","AEWS","038901041","038901","038","16","CHILDRESS","M","06 - 08","N"," "," ","A"
"CHILLICOTHE ISD","CHILLICOTHE EL","AE","099902101","099902","099","09","HARDEMAN","E","KG - 06","N"," "," ","A"
"CHILLICOTHE ISD","CHILLICOTHE H S","ATRW","099902001","099902","099","09","HARDEMAN","S","07 - 12","N"," "," ","A"
"CHILTON ISD","CHILTON SCHOOL","TZ","073901001","073901","073","12","FALLS","B","PK - 12","N"," "," ","A"
"CHINA SPRING ISD","ALTER ED SCHOOL"," ","161920006","161920","161","12","MCLENNAN","B","06 - 12","N"," "," ","X"
"CHINA SPRING ISD","BILL LOGUE DETENTION CENTER"," ","161920003","161920","161","12","MCLENNAN","S","10 - 10","N"," "," ","X"
"CHINA SPRING ISD","CHALLENGE ACADEMY"," ","161920004","161920","161","12","MCLENNAN","M","06 - 06","N"," "," ","X"
"CHINA SPRING ISD","CHINA SPRING EL","WX","161920102","161920","161","12","MCLENNAN","E","EE - 04","N"," "," ","A"
"CHINA SPRING ISD","CHINA SPRING H S","TRESZ","161920001","161920","161","12","MCLENNAN","S","09 - 12","N"," "," ","A"
"CHINA SPRING ISD","CHINA SPRING INTERMEDIATE","AEMN","161920104","161920","161","12","MCLENNAN","M","05 - 06","N"," "," ","R"
"CHINA SPRING ISD","CHINA SPRING MIDDLE","EWS","161920041","161920","161","12","MCLENNAN","M","07 - 08","N"," "," ","A"
"CHINA SPRING ISD","COMBINED SCHOOL PROG"," ","161920008","161920","161","12","MCLENNAN","B","03 - 11","N"," "," ","X"
"CHINA SPRING ISD","OPPORTUNITY LEARNING CTR"," ","161920002","161920","161","12","MCLENNAN","S","10 - 12","N"," "," ","1"
"CHIRENO ISD","CHIRENO EL","AEWNS","174901101","174901","174","07","NACOGDOCHES","E","PK - 08","N"," "," ","R"
"CHIRENO ISD","CHIRENO H S","ATS","174901001","174901","174","07","NACOGDOCHES","S","09 - 12","N"," "," ","R"
"CHISUM ISD","CHISUM ELEMENTARY SCHOOL","EWMZ","139905101","139905","139","08","LAMAR","E","PK - 05","N"," "," ","A"
"CHISUM ISD","CHISUM H S","AS","139905001","139905","139","08","LAMAR","S","09 - 12","N"," "," ","A"
"CHISUM ISD","CHISUM MIDDLE SCHOOL","EWSZ","139905041","139905","139","08","LAMAR","M","06 - 08","N"," "," ","R"
"CHRISTOVAL ISD","CHRISTOVAL EL","EWM","226901101","226901","226","15","TOM GREEN","E","KG - 05","N"," "," ","A"
"CHRISTOVAL ISD","CHRISTOVAL H S","W","226901001","226901","226","15","TOM GREEN","B","06 - 12","N"," "," ","A"
"CHRISTOVAL ISD","FAIRVIEW DAEP"," ","226901005","226901","226","15","TOM GREEN","S","07 - 10","N"," "," ","X"
"CHRISTOVAL ISD","FAIRVIEW SPECIAL PROGRAMS"," ","226901195","226901","226","15","TOM GREEN","S","07 - 12","N"," "," ","X"
"CHRISTOVAL ISD","FAIRVIEW VT"," ","226901006","226901","226","15","TOM GREEN","S","11 - 12","N"," "," ","X"
"CHRISTOVAL ISD","SAN ANGELO SPECIAL PROGS"," ","226901199","226901","226","15","TOM GREEN","M","07 - 07","N"," "," ","X"
"CHRISTOVAL ISD","VERIBEST PPCD"," ","226901102","226901","226","15","TOM GREEN","E","EE - EE","N"," "," ","X"
"CHRISTOVAL ISD","WALL SP PROG (FLC/BAC)"," ","226901180","226901","226","15","TOM GREEN","E","03 - 07","N"," "," ","X"
"CISCO ISD","CISCO EL","AN","067902101","067902","067","14","EASTLAND","E","EE - 05","N"," "," ","R"
"CISCO ISD","CISCO H S","ATX","067902001","067902","067","14","EASTLAND","S","09 - 12","N"," "," ","R"
"CISCO ISD","CISCO J H","EWY","067902041","067902","067","14","EASTLAND","M","06 - 08","N"," "," ","A"
"CISCO ISD","CISCO LEARNING CENTER"," ","067902004","067902","067","14","EASTLAND","S","09 - 12","N"," "," ","1"
"CITY VIEW ISD","CITY VIEW ELEMENTARY","NZ","243906101","243906","243","09","WICHITA","E","EE - 06","N"," "," ","R"
"CITY VIEW ISD","CITY VIEW JUNIOR/SENIOR HIGH","TRX","243906001","243906","243","09","WICHITA","S","07 - 12","N"," "," ","A"
"CLARENDON ISD","CLARENDON EL","MNZ","065901101","065901","065","16","DONLEY","E","EE - 05","N"," "," ","R"
"CLARENDON ISD","CLARENDON H S","RESY","065901001","065901","065","16","DONLEY","S","09 - 12","N"," "," ","R"
"CLARENDON ISD","CLARENDON J H","AE","065901041","065901","065","16","DONLEY","M","06 - 08","N"," "," ","A"
"CLARKSVILLE ISD","CHEATHAM MIDDLE"," ","194904042","194904","194","08","RED RIVER","M","06 - 08","N"," "," ","L"
"CLARKSVILLE ISD","CLARKSVILLE EL"," ","194904103","194904","194","08","RED RIVER","E","EE - 05","N"," "," ","A"
"CLARKSVILLE ISD","CLARKSVILLE H S","AR","194904002","194904","194","08","RED RIVER","S","09 - 12","N"," "," ","A"
"CLAUDE ISD","CLAUDE EL","AWMN","006902101","006902","006","16","ARMSTRONG","E","EE - 05","N"," "," ","A"
"CLAUDE ISD","CLAUDE H S","ATREWSY","006902001","006902","006","16","ARMSTRONG","B","06 - 12","N"," "," ","A"
"CLEAR CREEK ISD","ARLYNE & ALAN WEBER ELEMENTARY","WN","084910125","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","R"
"CLEAR CREEK ISD","ARMAND BAYOU EL","EWMNZ","084910111","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","E"
"CLEAR CREEK ISD","ART AND PAT GOFORTH ELEMENTARY SC","EWMNX","084910122","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","R"
"CLEAR CREEK ISD","BAY EL","WMN","084910105","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","R"
"CLEAR CREEK ISD","BROOKSIDE INT","ESX","084910047","084910","084","04","GALVESTON","M","06 - 08","N"," "," ","R"
"CLEAR CREEK ISD","BROOKWOOD EL","AEWMN","084910118","084910","084","04","GALVESTON","E","KG - 05","N"," "," ","E"
"CLEAR CREEK ISD","C D LANDOLT EL","AEWMN","084910112","084910","084","04","GALVESTON","E","PK - 05","N"," "," ","A"
"CLEAR CREEK ISD","CLEAR BROOK H S","R","084910003","084910","084","04","GALVESTON","S","09 - 12","N"," "," ","A"
"CLEAR CREEK ISD","CLEAR CREEK H S","R","084910001","084910","084","04","GALVESTON","S","09 - 12","N"," "," ","A"
"CLEAR CREEK ISD","CLEAR LAKE CITY EL","EWMN","084910101","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","R"
"CLEAR CREEK ISD","CLEAR LAKE H S","CTRY","084910002","084910","084","04","GALVESTON","S","09 - 12","N"," "," ","R"
"CLEAR CREEK ISD","CLEAR LAKE INT","ES","084910043","084910","084","04","GALVESTON","M","06 - 08","N"," "," ","R"
"CLEAR CREEK ISD","CLEAR VIEW ALTER"," ","084910004","084910","084","04","GALVESTON","B","06 - 12","N"," "," ","1"
"CLEAR CREEK ISD","CREEKSIDE INT","EWS","084910046","084910","084","04","GALVESTON","M","06 - 08","N"," "," ","R"
"CLEAR CREEK ISD","ED H WHITE EL","EWMN","084910102","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","R"
"CLEAR CREEK ISD","FALCON PASS EL","EWMNX","084910124","084910","084","04","GALVESTON","E","PK - 05","N"," "," ","R"
"CLEAR CREEK ISD","G H WHITCOMB EL","EMN","084910108","084910","084","04","GALVESTON","E","PK - 05","N"," "," ","R"
"CLEAR CREEK ISD","GALVESTON CO JJAEP"," ","084910005","084910","084","04","GALVESTON","S","08 - 12","N"," "," ","X"
"CLEAR CREEK ISD","HARRIS CO JJAEP"," ","084910006","084910","084","04","GALVESTON","B","06 - 10","N"," "," ","X"
"CLEAR CREEK ISD","HENRY BAUERSCHLAG ELEMENTARY SCHO","EWMN","084910123","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","R"
"CLEAR CREEK ISD","I W AND ELEANOR HYDE EL","AEWMN","084910120","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","A"
"CLEAR CREEK ISD","JAMES H ROSS EL","EMN","084910104","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","R"
"CLEAR CREEK ISD","JOHN F WARD EL","EMN","084910116","084910","084","04","GALVESTON","E","KG - 05","N"," "," ","E"
"CLEAR CREEK ISD","LAVACE STEWART EL","EWMN","084910106","084910","084","04","GALVESTON","E","PK - 05","N"," "," ","E"
"CLEAR CREEK ISD","LEAGUE CITY EL","WN","084910103","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","A"
"CLEAR CREEK ISD","LEAGUE CITY INT","ESZ","084910045","084910","084","04","GALVESTON","M","06 - 08","N"," "," ","R"
"CLEAR CREEK ISD","LLOYD R FERGUSON EL","AEWMN","084910117","084910","084","04","GALVESTON","E","KG - 05","N"," "," ","E"
"CLEAR CREEK ISD","MARGARET S MCWHIRTER EL","Y","084910107","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","A"
"CLEAR CREEK ISD","NORTH POINTE EL","EWMN","084910121","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","R"
"CLEAR CREEK ISD","P H GREENE EL","EWN","084910110","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","R"
"CLEAR CREEK ISD","SEABROOK INT","EWS","084910042","084910","084","04","GALVESTON","M","06 - 08","N"," "," ","R"
"CLEAR CREEK ISD","SPACE CENTER INT","EWSX","084910044","084910","084","04","GALVESTON","M","06 - 08","N"," "," ","R"
"CLEAR CREEK ISD","VICTORY LAKES INTERMEDIATE","ESZ","084910048","084910","084","04","GALVESTON","M","06 - 08","N"," "," ","R"
"CLEAR CREEK ISD","WALTER HALL EL","EWMN","084910115","084910","084","04","GALVESTON","E","KG - 05","N"," "," ","R"
"CLEAR CREEK ISD","WEBSTER INT","EW","084910041","084910","084","04","GALVESTON","M","06 - 08","N"," "," ","A"
"CLEAR CREEK ISD","WEDGEWOOD EL","WMN","084910119","084910","084","04","GALVESTON","E","EE - 05","N"," "," ","R"
"CLEBURNE ISD","ADAMS EL","WM","126903101","126903","126","11","JOHNSON","E","01 - 04","N"," "," ","R"
"CLEBURNE ISD","CLEBURNE H S"," ","126903001","126903","126","11","JOHNSON","S","09 - 12","N"," "," ","A"
"CLEBURNE ISD","CLEBURNE INTERMEDIATE","E","126903107","126903","126","11","JOHNSON","M","05 - 06","N"," "," ","A"
"CLEBURNE ISD","CLEBURNE MIDDLE","WX","126903041","126903","126","11","JOHNSON","S","07 - 12","N"," "," ","A"
"CLEBURNE ISD","COLEMAN EL"," ","126903102","126903","126","11","JOHNSON","E","01 - 04","N"," "," ","A"
"CLEBURNE ISD","COOKE EARLY CHILDHOOD CENTER"," ","126903109","126903","126","11","JOHNSON","E","EE - KG","N"," "," ","X"
"CLEBURNE ISD","GERARD EL","EWM","126903108","126903","126","11","JOHNSON","E","01 - 04","N"," "," ","A"
"CLEBURNE ISD","IRVING EL","X","126903104","126903","126","11","JOHNSON","E","01 - 04","N"," "," ","A"
"CLEBURNE ISD","J J A E P"," ","126903004","126903","126","11","JOHNSON","S","08 - 12","N"," "," ","X"
"CLEBURNE ISD","MARTI ELEMENTARY"," ","126903103","126903","126","11","JOHNSON","E","01 - 04","N"," "," ","R"
"CLEBURNE ISD","TEAM SCH"," ","126903002","126903","126","11","JOHNSON","S","10 - 12","N"," "," ","1"
"CLEVELAND ISD","CLEVELAND H S"," ","146901001","146901","146","04","LIBERTY","S","09 - 12","N"," "," ","A"
"CLEVELAND ISD","CLEVELAND J H"," ","146901041","146901","146","04","LIBERTY","M","07 - 08","N"," "," ","A"
"CLEVELAND ISD","DOUGLASS SCH"," ","146901101","146901","146","04","LIBERTY","E","EE - PK","N"," "," ","X"
"CLEVELAND ISD","EASTSIDE INT"," ","146901104","146901","146","04","LIBERTY","M","05 - 06","N"," "," ","A"
"CLEVELAND ISD","HARDIN/CHAMBERS CTR"," ","146901003","146901","146","04","LIBERTY","B","06 - 10","N"," "," ","X"
"CLEVELAND ISD","NORTHSIDE EL","X","146901102","146901","146","04","LIBERTY","E","03 - 04","N"," "," ","A"
"CLEVELAND ISD","SOUTHSIDE PRIMARY"," ","146901103","146901","146","04","LIBERTY","E","KG - 02","N","146901102","NORTHSIDE EL","A"
"CLIFTON ISD","CLIFTON EL"," ","018901101","018901","018","12","BOSQUE","E","PK - 02","N","018901103","CLIFTON INTERMEDIATE","A"
"CLIFTON ISD","CLIFTON H S","TRY","018901001","018901","018","12","BOSQUE","S","09 - 12","N"," "," ","A"
"CLIFTON ISD","CLIFTON INTERMEDIATE","WN","018901103","018901","018","12","BOSQUE","E","03 - 05","N"," "," ","A"
"CLIFTON ISD","CLIFTON MIDDLE","AEWY","018901041","018901","018","12","BOSQUE","M","06 - 08","N"," "," ","A"
"CLINT ISD","CARROLL T WELCH INTERMEDIATE","AY","071901043","071901","071","19","EL PASO","E","04 - 06","N"," "," ","A"
"CLINT ISD","CLINT HIGH SCHOOL","RS","071901001","071901","071","19","EL PASO","S","09 - 12","N"," "," ","A"
"CLINT ISD","CLINT JR HIGH SCHOOL","AWSY","071901041","071901","071","19","EL PASO","M","06 - 08","N"," "," ","A"
"CLINT ISD","DESERT HILLS ELEMENTARY","A","071901103","071901","071","19","EL PASO","E","EE - 05","N"," "," ","A"
"CLINT ISD","EAST MONTANA MIDDLE SCHOOL","AZ","071901042","071901","071","19","EL PASO","M","06 - 08","N"," "," ","A"
"CLINT ISD","FRANK MACIAS ELEMENTARY","AEM","071901105","071901","071","19","EL PASO","E","EE - 03","N"," "," ","R"
"CLINT ISD","HORIZON HIGH SCHOOL","A","071901004","071901","071","19","EL PASO","S","07 - 11","N"," "," ","A"
"CLINT ISD","MONTANA VISTA ELEMENTARY","A","071901104","071901","071","19","EL PASO","E","EE - 05","N"," "," ","A"
"CLINT ISD","MOUNTAIN VIEW HIGH SCHOOL","AR","071901002","071901","071","19","EL PASO","S","09 - 12","N"," "," ","A"
"CLINT ISD","RED SANDS ELEMENTARY","AMZ","071901102","071901","071","19","EL PASO","E","PK - 05","N"," "," ","A"
"CLINT ISD","WM DAVID SURRATT ELEMENTARY","AZ","071901101","071901","071","19","EL PASO","E","PK - 05","N"," "," ","A"
"CLYDE CISD","CLYDE EL","EM","030902101","030902","030","14","CALLAHAN","E","EE - 03","N"," "," ","E"
"CLYDE CISD","CLYDE H S","ATRSX","030902001","030902","030","14","CALLAHAN","S","09 - 12","N"," "," ","A"
"CLYDE CISD","CLYDE INT","E","030902103","030902","030","14","CALLAHAN","E","04 - 06","N"," "," ","R"
"CLYDE CISD","CLYDE J H","EW","030902041","030902","030","14","CALLAHAN","M","07 - 08","N"," "," ","A"
"COAHOMA ISD","COAHOMA EL","N","114902101","114902","114","18","HOWARD","E","PK - 06","N"," "," ","A"
"COAHOMA ISD","COAHOMA H S"," ","114902001","114902","114","18","HOWARD","S","09 - 12","N"," "," ","A"
"COAHOMA ISD","COAHOMA J H","S","114902041","114902","114","18","HOWARD","M","07 - 08","N"," "," ","A"
"COASTAL BEND YOUTH CITY","COASTAL BEND YOUTH CITY"," ","178803001","178803","178","02","NUECES","B","04 - 10","Y"," "," ","X"
"COLDSPRING-OAKHURST CISD","COLDSPRING-OAKHURST HIGH SCHOOL","RX","204901001","204901","204","06","SAN JACINTO","S","09 - 12","N"," "," ","A"
"COLDSPRING-OAKHURST CISD","COLDSPRING-OAKHURST INTERMEDIATE"," ","204901103","204901","204","06","SAN JACINTO","E","03 - 05","N"," "," ","A"
"COLDSPRING-OAKHURST CISD","LINCOLN JUNIOR HIGH","Y","204901041","204901","204","06","SAN JACINTO","M","06 - 08","N"," "," ","A"
"COLDSPRING-OAKHURST CISD","STREET ELEMENTARY"," ","204901102","204901","204","06","SAN JACINTO","E","EE - 02","N","204901103","COLDSPRING-OAKHURST INTERMEDIATE","A"
"COLEMAN ISD","CO-OP ALTER PROG"," ","042901002","042901","042","15","COLEMAN","S","09 - 12","N"," "," ","1"
"COLEMAN ISD","COLEMAN EL","W","042901102","042901","042","15","COLEMAN","E","EE - 05","N"," "," ","A"
"COLEMAN ISD","COLEMAN H S","RX","042901001","042901","042","15","COLEMAN","S","09 - 12","N"," "," ","A"
"COLEMAN ISD","COLEMAN J H","Y","042901041","042901","042","15","COLEMAN","M","06 - 08","N"," "," ","A"
"COLLEGE STATION ISD","A & M CONS H S","PC","021901001","021901","021","06","BRAZOS","S","09 - 12","N"," "," ","A"
"COLLEGE STATION ISD","A & M CONSOLIDATED MIDDLE SCHOOL","AEWSZ","021901042","021901","021","06","BRAZOS","M","07 - 08","N"," "," ","A"
"COLLEGE STATION ISD","CENTER FOR ALTERNATIVE LEARNING"," ","021901002","021901","021","06","BRAZOS","S","10 - 12","N"," "," ","1"
"COLLEGE STATION ISD","COLLEGE HILLS EL","AEMY","021901102","021901","021","06","BRAZOS","E","PK - 04","N"," "," ","R"
