"ACADEMY OF BEAUMONT","ACADEMY OF BEAUMONT"," ","123801101","123801","123","05","JEFFERSON","E","PK - 08","Y"," "," ","L"
"ACADEMY OF CAREERS AND TECHNOLOGIE","ACADEMY OF CAREERS AND TECHNOLOGI"," ","015816001","015816","015","20","BEXAR","S","09 - 12","Y"," "," ","1"
"ACADEMY OF DALLAS","ACADEMY OF DALLAS"," ","057810101","057810","057","10","DALLAS","B","PK - 09","Y"," "," ","2"
"ACCELERATED INTERMEDIATE ACADEMY","ACCELERATED INTERDISCIPLINARY ACAD","MZ","101849101","101849","101","04","HARRIS","E","PK - 05","Y"," "," ","E"
"ACCELERATED INTERMEDIATE ACADEMY","ACCELERATED INTERMEDIATE CHARTER S","Z","101849041","101849","101","04","HARRIS","E","02 - 08","Y"," "," ","R"
"ADRIAN ISD","ADRIAN SCHOOL","DTREWY","180903001","180903","180","16","OLDHAM","B","PK - 12","N"," "," ","A"
"AGUA DULCE ISD","AGUA DULCE ELEMENTARY SCHOOL","AY","178901101","178901","178","02","NUECES","E","PK - 06","N"," "," ","A"
"AGUA DULCE ISD","AGUA DULCE H S","RWZ","178901001","178901","178","02","NUECES","S","07 - 12","N"," "," ","A"
"ALAMO HEIGHTS ISD","ALAMO HEIGHTS H S","PSY","015901001","015901","015","20","BEXAR","S","09 - 12","N"," "," ","A"
"ALAMO HEIGHTS ISD","ALAMO HEIGHTS J H"," ","015901041","015901","015","20","BEXAR","M","06 - 08","N"," "," ","A"
"ALAMO HEIGHTS ISD","CAMBRIDGE EL"," ","015901101","015901","015","20","BEXAR","E","01 - 05","N"," "," ","R"
"ALAMO HEIGHTS ISD","HOWARD EL"," ","015901102","015901","015","20","BEXAR","E","EE - KG","N"," "," ","X"
"ALAMO HEIGHTS ISD","WOODRIDGE EL"," ","015901104","015901","015","20","BEXAR","E","01 - 05","N"," "," ","A"
"ALBA-GOLDEN ISD","ALBA-GOLDEN EL","E","250906101","250906","250","07","WOOD","E","PK - 05","N"," "," ","A"
"ALBA-GOLDEN ISD","ALBA-GOLDEN H S","SZ","250906001","250906","250","07","WOOD","B","06 - 12","N"," "," ","A"
"ALBA-GOLDEN ISD","ALTER SCHOOL"," ","250906002","250906","250","07","WOOD","S","11 - 12","N"," "," ","1"
"ALBANY ISD","ALBANY JR-SR H S","ATRW","209901001","209901","209","14","SHACKELFORD","S","07 - 12","N"," "," ","A"
"ALBANY ISD","NANCY SMITH EL","EWMNX","209901101","209901","209","14","SHACKELFORD","E","PK - 06","N"," "," ","R"
"ALDINE ISD","ALDINE ELEMENTARY"," ","101902130","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","ALDINE HIGH SCHOOL","R","101902001","101902","101","04","HARRIS","S","09 - 12","N"," "," ","A"
"ALDINE ISD","ALDINE J J A E P"," ","101902099","101902","101","04","HARRIS","S","08 - 12","N"," "," ","X"
"ALDINE ISD","ALDINE MIDDLE","Z","101902041","101902","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALDINE ISD","ALDINE NINTH GRADE SCHOOL","Z","101902081","101902","101","04","HARRIS","S","09 - 09","N"," "," ","A"
"ALDINE ISD","ANDERSON ACADEMY","AE","101902101","101902","101","04","HARRIS","E","01 - 03","N"," "," ","E"
"ALDINE ISD","BETHUNE ACADEMY","AMX","101902102","101902","101","04","HARRIS","E","03 - 04","N"," "," ","R"
"ALDINE ISD","BLACK ELEMENTARY","Y","101902126","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","BUSSEY ELEMENTARY","X","101902131","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","CALVERT ELEMENTARY"," ","101902128","101902","101","04","HARRIS","E","KG - 04","N"," "," ","A"
"ALDINE ISD","CARAWAY INTERMEDIATE","Z","101902066","101902","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALDINE ISD","CARMICHAEL ELEMENTARY","EY","101902122","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","CARROLL ACADEMY","Z","101902103","101902","101","04","HARRIS","E","EE - 04","N"," "," ","R"
"ALDINE ISD","CARTER ACADEMY"," ","101902107","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","CARVER H S  FOR APPLIED TECH/ENGI","ATRSY","101902002","101902","101","04","HARRIS","S","09 - 12","N"," "," ","A"
"ALDINE ISD","CONLEY ELEMENTARY","AM","101902123","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","DE SANTIAGO EC/PRE-K CENTER"," ","101902155","101902","101","04","HARRIS","E","EE - PK","N"," "," ","X"
"ALDINE ISD","DREW ACADEMY","AE","101902042","101902","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALDINE ISD","DUNN ELEMENTARY","Y","101902124","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","ECKERT INTERMEDIATE","EZ","101902061","101902","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALDINE ISD","EISENHOWER HIGH SCHOOL","R","101902004","101902","101","04","HARRIS","S","09 - 12","N"," "," ","A"
"ALDINE ISD","EISENHOWER NINTH GRADE SCHOOL","AY","101902084","101902","101","04","HARRIS","S","09 - 09","N"," "," ","A"
"ALDINE ISD","ERMEL ELEMENTARY","WZ","101902121","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","ESCAMILLA INTERMEDIATE","AEZ","101902063","101902","101","04","HARRIS","M","05 - 06","N"," "," ","A"
"ALDINE ISD","FRANCIS ELEMENTARY","X","101902105","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","GOODMAN ELEMENTARY","EZ","101902106","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","GRANTHAM ACADEMY","S","101902048","101902","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALDINE ISD","GRAY ELEMENTARY","EW","101902125","101902","101","04","HARRIS","E","KG - 04","N"," "," ","R"
"ALDINE ISD","HALL HIGH SCHOOL"," ","101902006","101902","101","04","HARRIS","S","09 - 12","N"," "," ","1"
"ALDINE ISD","HAMBRICK MIDDLE","AEWSZ","101902043","101902","101","04","HARRIS","M","07 - 08","N"," "," ","R"
"ALDINE ISD","HARRIS ACADEMY"," ","101902129","101902","101","04","HARRIS","E","KG - 04","N"," "," ","A"
"ALDINE ISD","HINOJOSA EC/PRE-K CENTER"," ","101902153","101902","101","04","HARRIS","E","EE - PK","N"," "," ","X"
"ALDINE ISD","HOFFMAN MIDDLE","Z","101902046","101902","101","04","HARRIS","M","07 - 08","N"," "," ","A"
"ALDINE ISD","HOUSTON ACADEMY","AEM","101902062","101902","101","04","HARRIS","M","05 - 06","N"," "," ","A"
