"A W BROWN-FELLOWSHIP CHARTER SCHOO","A W BROWN-FELLOWSHIP CHARTER SCHO","057816101","057816","057","10","DALLAS","E","PK - 07","Y"," "," ","R","AE"
"A+ ACADEMY","A+ ACADEMY","057829001","057829","057","10","DALLAS","B","PK - 12","Y"," "," ","P"," "
"ABBOTT ISD","ABBOTT SCHOOL","109901001","109901","109","12","HILL","B","KG - 12","N"," "," ","R","ACRENS"
"ABERNATHY ISD","ABERNATHY DAEP","095901003","095901","095","17","HALE","M","08 - 08","N"," "," ","X"," "
"ABERNATHY ISD","ABERNATHY EL","095901101","095901","095","17","HALE","E","PK - 05","N"," "," ","A"," "
"ABERNATHY ISD","ABERNATHY H S","095901001","095901","095","17","HALE","S","09 - 12","N"," "," ","A","R"
"ABERNATHY ISD","ABERNATHY J H","095901041","095901","095","17","HALE","M","06 - 08","N"," "," ","R","AW"
"ABILENE ISD","ABILENE H S","221901001","221901","221","14","TAYLOR","S","09 - 12","N"," "," ","A"," "
"ABILENE ISD","ABILENE STATE SCH","221901129","221901","221","14","TAYLOR","S","10 - 12","N"," "," ","X"," "
"ABILENE ISD","AUSTIN EL","221901102","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","E","EWMN"
"ABILENE ISD","BASSETTI EL","221901153","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R","EWMN"
"ABILENE ISD","BONHAM EL","221901103","221901","221","14","TAYLOR","E","EE - 05","N"," "," ","E","EWMN"
"ABILENE ISD","BOWIE EL","221901104","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R","EM"
"ABILENE ISD","CLACK MIDDLE","221901047","221901","221","14","TAYLOR","M","06 - 08","N"," "," ","R","S"
"ABILENE ISD","COLLEGE HEIGHTS EL","221901106","221901","221","14","TAYLOR","E","EE - 05","N"," "," ","R","E"
"ABILENE ISD","COOPER H S","221901002","221901","221","14","TAYLOR","S","09 - 12","N"," "," ","A"," "
"ABILENE ISD","DYESS EL","221901108","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R","EWM"
"ABILENE ISD","EXCEL ALTER H S","221901003","221901","221","14","TAYLOR","S","09 - 12","N"," "," ","P"," "
"ABILENE ISD","FANNIN EL","221901110","221901","221","14","TAYLOR","E","EE - 05","N"," "," ","R","EN"
"ABILENE ISD","FRANKLIN MIDDLE","221901041","221901","221","14","TAYLOR","M","06 - 08","N"," "," ","A"," "
"ABILENE ISD","HARMONY FAMILY SERVICES","221901200","221901","221","14","TAYLOR","B","06 - 10","N"," "," ","X"," "
"ABILENE ISD","HOUSTON STUDENT ACH CTR","221901124","221901","221","14","TAYLOR","B","04 - 11","N"," "," ","X"," "
"ABILENE ISD","JACKSON EL","221901112","221901","221","14","TAYLOR","E","EE - 05","N"," "," ","R","EWN"
"ABILENE ISD","JEFFERSON MIDDLE","221901042","221901","221","14","TAYLOR","M","07 - 08","N"," "," ","A"," "
"ABILENE ISD","JOHNSTON EL","221901113","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R","EW"
"ABILENE ISD","JUVENILE DETENTION CENTER","221901008","221901","221","14","TAYLOR","B","06 - 11","N"," "," ","X"," "
"ABILENE ISD","LEE EL","221901116","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","A"," "
"ABILENE ISD","LINCOLN MIDDLE","221901043","221901","221","14","TAYLOR","M","06 - 08","N"," "," ","R"," "
"ABILENE ISD","LOCUST ECC","221901117","221901","221","14","TAYLOR","E","EE - PK","N"," "," ","X"," "
"ABILENE ISD","LONG EL","221901118","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","A"," "
"ABILENE ISD","MADISON MIDDLE","221901044","221901","221","14","TAYLOR","M","06 - 08","N"," "," ","A","W"
"ABILENE ISD","MANN MIDDLE","221901045","221901","221","14","TAYLOR","M","06 - 08","N"," "," ","A","S"
"ABILENE ISD","ORTIZ EL","221901152","221901","221","14","TAYLOR","E","KG - 05","N"," "," ","R","EWM"
"ABILENE ISD","REAGAN EL","221901120","221901","221","14","TAYLOR","E","EE - 05","N"," "," ","A"," "
"ABILENE ISD","SP ED HOMEBOUND","221901127","221901","221","14","TAYLOR","B","02 - 09","N"," "," ","X"," "
"ABILENE ISD","SP ED O J T","221901128","221901","221","14","TAYLOR","S","09 - 12","N"," "," ","X"," "
